TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
NY Knicks,+8.5,O 221,+285,−110,−115
BOS Celtics,-8.5,U 221,−345,−110,−105
DET Pistons,+8.5,O 236,+295,−110,−110
BKN Nets,-8.5,U 236,−360,−110,−110
CHI Bulls,-6,O 235,−240,−110,−110
CHA Hornets,+6,U 235,+200,−110,−110
CLE Cavaliers,-9,O 219.5,−410,−110,−110
HOU Rockets,+9,U 219.5,+330,−110,−110
DAL Mavericks,+1.5,O 221.5,+100,−115,−110
PHO Suns,-1.5,U 221.5,−120,−105,−110
SA Spurs,+13,O 234.5,+625,−110,−110
LA Clippers,-13,U 234.5,−900,−110,−110
