TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
MIA Heat,-6,O 222,−240,−110,−110
CHA Hornets,+6,U 222,+200,−110,−110
IND Pacers,+9.5,,,−110,
MEM Grizzlies,-9.5,,,−110,
LA Clippers,+4.5,,+160,−105,
CLE Cavaliers,-4.5,,−190,−115,
NO Pelicans,+9.5,O 233,+320,−110,−110
MIL Bucks,-9.5,U 233,−390,−110,−110
