TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
DEN Nuggets,-5.5,O 224.5−110,−210,−110
UTA Jazz,+5.5,U 224.5−110,+180,−110
POR Trail Blazers,+16.5,O 230−110,+950,−110
LA Clippers,-16.5,U 230−110,−1650,−110
MIN Timberwolves,-13.5,O 233−110,−950,−110
SA Spurs,+13.5,U 233−110,+650,−110
