TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
NY Knicks,+3.5,O 211.5,+130,−115,−110
LA Clippers,-3.5,U 211.5,−160,−115,−120
MIA Heat,-2.5,O 221.5,−140,−110,−115
ORL Magic,+2.5,U 221.5,+120,−110,−105
UTA Jazz,-1.5,O 228.5,−120,−110,−110
CHA Hornets,+1.5,U 228.5,+100,−110,−110
IND Pacers,-5.5,O 229,−215,−110,−110
DET Pistons,+5.5,U 229,+185,−110,−110
BOS Celtics,-5.5,O 238,−215,−110,−110
ATL Hawks,+5.5,U 238,+185,−110,−110
CHI Bulls,-8,O 224,−340,−115,−105
HOU Rockets,+8,U 224,+280,−105,−115
DAL Mavericks,+4.5,O 225,+160,−105,−110
MEM Grizzlies,-4.5,U 225,−190,−115,−110
MIL Bucks,+3,O 241,+130,−110,−110
GS Warriors,-3,U 241,−150,−110,−110
OKC Thunder,+2,O 234,+110,−110,−110
NO Pelicans,-2,U 234,−130,−110,−110
SAC Kings,+4,O 240,+145,−105,−110
PHO Suns,-4,U 240,−170,−115,−110
