TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
BOS Celtics,-2.5,O 214.5−110,−140,−110
PHI 76ers,+2.5,U 214.5−110,+120,−110
DEN Nuggets,+4,O 224.5−110,+155,−110
PHO Suns,-4,U 224.5−110,−180,−110
