TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
CHI Bulls,-2,O 234,−130,−110,−110
IND Pacers,+2,U 234,+110,−110,−110
BOS Celtics,+3,O 218,+130,−110,−110
MIA Heat,-3,U 218,−150,−110,−110
CLE Cavaliers,-3.5,O 221,−155,−110,−110
NY Knicks,+3.5,U 221,+135,−110,−110
DEN Nuggets,-1,O 230,−115,−110,−115
NO Pelicans,+1,U 230,−105,−110,−105
WAS Wizards,+7,O 225.5,+235,−110,−110
DAL Mavericks,-7,U 225.5,−280,−110,−110
CHA Hornets,+6.5,O 227,+210,−110,−105
PHO Suns,-6.5,U 227,−250,−110,−115
LA Clippers,-5,O 230,−195,−110,−110
LA Lakers,+5,U 230,+165,−110,−110
