TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
SAS,PG,27.0,13.9,3.2,4.2,1.0,0.3,1.5,1.7,49.0,83.9
MIN,PG,27.0,13.5,3.7,4.3,1.0,0.2,1.8,1.6,44.6,80.6
HOU,PG,26.2,13.1,2.7,4.3,1.1,0.3,1.4,1.8,44.3,83.0
GSW,PG,26.1,13.1,3.3,4.2,0.9,0.3,1.7,1.6,44.6,80.5
CHA,C,25.9,10.9,6.9,2.0,0.6,1.1,1.3,0.6,53.4,74.6
OKC,PG,25.7,13.3,3.0,4.2,0.9,0.3,2.0,1.7,43.8,82.9
ATL,C,25.7,11.4,6.9,1.8,0.7,0.8,1.3,0.6,58.8,76.7
LAL,PG,25.6,13.5,2.9,4.1,0.9,0.3,1.6,1.5,45.1,82.1
DET,PG,25.3,12.5,3.0,4.1,1.0,0.3,1.4,1.5,45.2,82.2
CHI,PG,25.3,12.5,3.5,4.1,0.8,0.3,1.8,1.6,43.4,84.1
TOR,PG,25.2,12.7,3.2,4.4,0.8,0.3,2.2,1.5,46.8,83.5
BKN,PG,25.2,12.8,3.3,3.8,1.0,0.2,1.5,1.7,44.2,84.7
IND,PG,25.1,12.9,3.1,3.9,0.9,0.3,1.7,1.7,42.8,85.8
SAC,PG,25.1,12.9,3.1,4.1,0.9,0.2,1.7,1.5,46.4,85.1
DEN,PG,25.0,12.9,2.8,4.4,0.7,0.2,1.6,1.5,45.4,82.9
SAS,C,24.8,11.0,6.5,1.8,0.6,0.9,1.3,0.5,57.6,69.9
UTA,PG,24.8,13.1,3.2,3.6,0.8,0.3,1.5,1.5,45.7,80.1
WAS,PG,24.6,12.8,3.2,3.7,0.8,0.3,1.5,1.5,44.0,83.1
POR,PG,24.5,12.0,3.1,4.3,0.8,0.2,1.6,1.5,44.8,84.7
MIL,PG,24.5,12.9,3.2,3.6,0.8,0.2,1.3,1.4,44.0,81.9
GSW,C,24.4,10.8,6.5,2.0,0.6,0.7,1.5,0.6,54.4,70.7
SAC,SG,24.4,13.5,3.3,2.8,1.0,0.3,1.5,1.8,47.5,80.8
BKN,SG,24.3,13.5,3.3,2.7,0.8,0.3,1.3,2.1,45.7,80.1
ORL,PG,24.3,12.0,2.9,4.2,1.0,0.3,1.8,1.5,43.6,83.8
UTA,SG,24.3,13.5,3.4,2.7,0.8,0.3,1.3,1.7,44.3,83.4
CHI,SG,24.3,12.7,3.6,3.1,0.8,0.4,1.5,1.9,44.0,81.8
MIA,PG,24.2,12.0,3.2,4.1,0.8,0.3,1.9,1.8,42.8,79.8
ATL,PG,24.1,12.0,3.0,4.0,0.9,0.3,1.6,1.3,44.2,84.0
CHA,PF,24.1,11.4,5.3,2.2,0.6,0.7,1.3,1.3,47.9,80.9
OKC,PF,24.1,11.4,5.6,1.9,0.7,0.7,1.4,1.1,48.9,77.2
CHA,PG,24.1,12.2,3.0,4.0,0.7,0.3,1.7,1.6,45.6,84.0
LAC,PG,24.0,11.7,3.0,3.9,1.0,0.3,1.3,1.5,43.9,79.2
IND,C,24.0,10.3,6.6,1.7,0.6,0.9,1.3,0.5,56.9,73.0
NYK,PG,24.0,12.0,3.0,3.8,0.8,0.4,1.3,1.5,42.3,81.8
OKC,C,24.0,9.9,6.7,2.0,0.5,0.9,1.5,0.5,58.0,72.6
ATL,PF,23.9,11.8,5.2,2.0,0.6,0.6,1.2,1.1,48.1,84.6
NOP,PG,23.9,12.0,2.9,4.0,0.8,0.3,1.8,1.4,43.7,81.1
BOS,PG,23.9,12.5,3.0,3.5,0.8,0.3,1.3,1.5,44.5,81.1
MIA,SG,23.9,12.5,3.4,3.1,0.8,0.3,1.7,2.0,44.5,78.7
IND,SG,23.9,12.6,3.6,2.9,0.9,0.3,1.6,1.8,44.4,85.8
IND,PF,23.8,11.3,5.3,2.1,0.7,0.6,1.3,1.1,49.7,78.2
GSW,SG,23.6,12.5,3.3,2.9,0.9,0.3,1.5,1.7,44.4,77.8
HOU,SG,23.6,12.9,3.0,2.5,1.0,0.3,1.1,2.2,47.2,82.7
LAL,C,23.5,9.6,6.5,1.9,0.6,0.8,1.1,0.5,57.0,69.1
MEM,PG,23.5,11.3,3.2,4.1,0.8,0.3,1.7,1.5,41.2,85.2
ATL,SF,23.5,12.3,4.1,2.3,0.9,0.4,1.3,1.4,45.8,83.4
MIN,SG,23.5,12.6,3.3,2.9,0.9,0.2,1.6,1.7,45.6,78.7
WAS,SG,23.4,13.0,3.4,2.6,0.8,0.2,1.3,1.8,45.6,83.7
PHX,C,23.3,9.7,6.5,1.8,0.7,0.8,1.4,0.5,55.4,75.9
DET,C,23.3,10.0,6.6,1.6,0.5,0.9,1.2,0.4,55.3,69.5
PHI,SG,23.3,12.7,3.1,2.8,0.8,0.4,1.5,1.7,45.4,84.8
MIA,SF,23.3,12.2,4.2,2.4,0.8,0.3,1.6,1.5,49.7,77.9
UTA,C,23.2,10.4,5.9,1.7,0.6,0.9,1.3,0.4,54.8,71.3
DAL,PF,23.2,11.3,5.2,2.0,0.6,0.5,1.1,1.2,51.3,77.2
