TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
CLE Cavaliers,+10.5,,+2000,−110
NY Knicks,-10.5,,−12500,−120
SAC Kings,+7.5,O 236−110,+270,−110
GS Warriors,-7.5,U 236−110,−325,−110
BOS Celtics,-7,O 231−110,−265,−110
ATL Hawks,+7,U 231−110,+225,−110
DEN Nuggets,-4,O 223.5−110,−180,−110
MIN Timberwolves,+4,U 223.5−110,+155,−110
