TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
SAS,PG,27.0,13.9,3.3,4.1,1.0,0.3,1.5,1.7,48.8,82.9
HOU,PG,26.4,13.2,2.7,4.4,1.1,0.3,1.4,1.8,44.7,82.4
GSW,PG,26.1,13.2,3.2,4.3,0.9,0.3,1.6,1.6,44.5,79.1
MIN,PG,26.0,13.2,3.4,4.2,0.9,0.2,1.8,1.4,44.6,80.7
IND,PG,26.0,13.3,3.1,4.1,1.0,0.3,1.7,1.7,43.6,86.4
OKC,PG,25.9,13.1,3.1,4.3,0.9,0.3,1.9,1.7,43.7,83.4
LAC,PG,25.4,12.5,3.1,4.1,1.0,0.3,1.3,1.5,44.3,82.0
TOR,PG,25.4,12.6,3.2,4.4,0.9,0.3,2.1,1.5,47.2,84.2
WAS,PG,25.3,12.9,3.2,4.0,0.9,0.3,1.5,1.5,45.0,82.1
ATL,C,25.3,11.2,6.6,1.8,0.7,0.9,1.2,0.6,59.5,76.8
CHA,C,25.0,10.7,6.7,1.8,0.6,1.0,1.2,0.6,54.0,75.2
CHI,PG,25.0,12.2,3.4,4.1,0.8,0.3,1.7,1.7,43.6,83.2
MIA,PG,24.9,12.5,3.2,4.1,0.9,0.3,1.9,1.8,44.2,80.0
GSW,C,24.8,11.1,6.6,2.0,0.6,0.7,1.5,0.7,54.5,71.1
NYK,PG,24.8,12.7,3.0,3.9,0.8,0.4,1.4,1.6,43.8,82.5
UTA,PG,24.8,13.0,3.1,3.7,0.8,0.3,1.4,1.5,45.5,80.4
POR,PG,24.7,12.1,3.1,4.2,0.9,0.2,1.5,1.5,46.7,84.5
BKN,PG,24.7,12.5,3.3,3.7,1.0,0.2,1.5,1.6,43.6,84.1
IND,C,24.6,10.6,6.6,1.7,0.6,1.0,1.3,0.5,57.0,71.3
SAC,SG,24.6,13.6,3.3,2.9,0.9,0.3,1.5,1.8,47.0,80.9
MIL,PG,24.6,12.8,3.2,3.7,0.8,0.2,1.4,1.5,44.4,81.8
LAL,PG,24.5,12.7,2.9,3.9,0.8,0.2,1.4,1.5,44.9,82.6
ATL,PG,24.4,12.1,3.1,4.1,0.8,0.3,1.6,1.4,44.3,85.1
SAS,C,24.4,10.7,6.3,1.9,0.6,0.9,1.3,0.5,57.6,70.2
DAL,PG,24.4,12.4,3.1,4.2,0.8,0.1,1.5,1.3,45.2,84.0
DET,PG,24.4,12.0,2.9,3.9,1.0,0.3,1.3,1.5,44.7,81.4
UTA,SG,24.3,13.3,3.4,2.7,0.9,0.3,1.2,1.8,44.2,83.3
DEN,PG,24.3,12.4,2.8,4.3,0.7,0.2,1.5,1.4,44.8,82.2
ATL,PF,24.2,12.0,5.0,2.1,0.7,0.6,1.2,1.2,49.9,83.8
ORL,PG,24.1,11.9,2.8,4.3,0.9,0.2,1.8,1.5,43.5,84.1
CHA,PG,24.1,12.0,3.1,3.9,0.8,0.3,1.6,1.5,45.0,83.3
SAC,PG,24.1,12.1,3.1,3.9,0.9,0.2,1.6,1.5,45.2,82.5
ATL,SF,24.1,12.5,4.1,2.4,0.9,0.4,1.3,1.4,47.2,81.7
MIA,SG,24.0,12.7,3.3,3.0,0.9,0.3,1.6,2.0,45.4,79.8
IND,SG,24.0,12.8,3.5,2.8,0.9,0.3,1.5,1.7,45.4,84.0
NOP,PG,24.0,12.1,2.9,4.0,0.8,0.3,1.7,1.4,43.8,82.0
BOS,PG,24.0,12.3,3.0,3.6,0.9,0.3,1.4,1.4,43.4,80.4
MEM,PG,23.8,11.6,3.2,4.1,0.8,0.2,1.7,1.6,42.3,84.5
LAL,C,23.8,10.1,6.4,1.9,0.6,0.8,1.0,0.6,56.9,70.2
OKC,PF,23.8,11.4,5.3,2.1,0.6,0.7,1.4,1.1,48.8,76.9
IND,PF,23.7,11.5,5.1,2.1,0.7,0.6,1.3,1.1,50.7,78.5
GSW,SG,23.7,12.6,3.3,2.9,0.9,0.3,1.4,1.7,44.1,79.7
PHI,SG,23.6,13.2,3.0,2.8,0.8,0.3,1.5,1.8,46.1,83.2
HOU,SG,23.6,12.9,2.9,2.5,1.0,0.3,1.1,2.2,47.1,83.0
DET,C,23.6,10.1,6.5,1.6,0.6,1.0,1.1,0.4,56.5,70.3
CHI,SG,23.4,12.2,3.4,3.0,0.7,0.3,1.5,1.9,43.7,82.1
DAL,PF,23.4,11.5,5.2,2.0,0.6,0.5,1.1,1.2,51.1,75.8
OKC,C,23.3,9.7,6.7,1.8,0.4,0.9,1.5,0.4,58.1,72.6
BKN,SG,23.3,12.9,3.2,2.5,0.8,0.3,1.3,1.9,44.9,80.0
MIN,SG,23.3,12.8,3.3,2.7,0.9,0.2,1.5,1.7,46.2,79.2
CHA,PF,23.2,11.0,5.0,2.1,0.7,0.7,1.2,1.1,47.2,81.6
CLE,C,23.2,9.8,6.6,1.6,0.7,0.8,1.4,0.7,52.9,77.0
