TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
NY Knicks,+6.5,O 222.5,+210,−110,−110
PHI 76ers,-6.5,U 222.5,−250,−110,−110
PHO Suns,+2.5,O 231.5,+120,−105,−110
IND Pacers,-2.5,U 231.5,−140,−115,−110
SA Spurs,+6,O 235.5,+190,−115,−110
DET Pistons,-6,U 235.5,−225,−105,−110
CHA Hornets,+11.5,O 225.5,+500,−110,−110
BOS Celtics,-11.5,U 225.5,−675,−110,−110
UTA Jazz,+8,O 229.5,+265,−110,−110
TOR Raptors,-8,U 229.5,−320,−110,−110
HOU Rockets,+12,O 219.5,+500,−110,−110
MIA Heat,-12,U 219.5,−675,−110,−110
MIN Timberwolves,+7,O 234.5,+225,−110,−110
MEM Grizzlies,-7,U 234.5,−265,−110,−110
OKC Thunder,+3,O 239.5,+130,−110,−110
POR Trail Blazers,-3,U 239.5,−150,−110,−110
CLE Cavaliers,-3,O 223,−150,−110,−105
NO Pelicans,+3,U 223,+130,−110,−115
DAL Mavericks,+4,O 233.5,+150,−110,−110
SAC Kings,-4,U 233.5,−175,−110,−110
MIL Bucks,pk,O 227,−110,−110,−110
LA Clippers,pk,U 227,−110,−110,−110
