TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
BOS Celtics,-11.5,O 231,−660,−110,−110
DET Pistons,+11.5,U 231,+490,−110,−110
CLE Cavaliers,-2.5,O 222,−140,−110,−110
WAS Wizards,+2.5,U 222,+120,−110,−110
LA Clippers,-8,O 221,−325,−110,−105
BKN Nets,+8,U 221,+270,−110,−115
SA Spurs,+10,O 238,+400,−105,−110
CHI Bulls,-10,U 238,−500,−115,−110
SAC Kings,-5.5,O 233.5,−215,−115,−110
HOU Rockets,+5.5,U 233.5,+185,−105,−110
DAL Mavericks,+9,O 223,+320,−110,−105
UTA Jazz,-9,U 223,−390,−110,−115
MIL Bucks,-4,O 242,−175,−110,−110
POR Trail Blazers,+4,U 242,+150,−110,−110
OKC Thunder,+3.5,O 234,+140,−110,−110
GS Warriors,-3.5,U 234,−165,−110,−110
