TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
DEN Nuggets,-12.5,O 222.5,−1300,−120,−115
BKN Nets,+12.5,U 222.5,+750,−110,−115
PHO Suns,-8.5,O 250.5,−425,−120,−115
OKC Thunder,+8.5,U 250.5,+320,−110,−115
ATL Hawks,-15.5,O 262.5,−4000,−120,−120
SA Spurs,+15.5,U 262.5,+1300,−110,−110
MIA Heat,-10,O 218,−460,−110,−110
DET Pistons,+10,U 218,+370,−110,−110
NO Pelicans,-5.5,O 227,−225,−120,−110
HOU Rockets,+5.5,U 227,+190,+100,−110
TOR Raptors,+7.5,O 235,+250,−110,−110
MIL Bucks,-7.5,U 235,−300,−110,−110
LA Clippers,-4.5,O 236,−180,−110,−110
POR Trail Blazers,+4.5,U 236,+155,−110,−110
ORL Magic,+6,O 230,+200,−110,−115
LA Lakers,-6,U 230,−240,−110,−105
