TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
SA Spurs,+15,O 224.5,+850,−110,−110
CLE Cavaliers,-15,U 224.5,−1400,−110,−110
HOU Rockets,+13.5,O 226,+650,−115,−115
PHI 76ers,-13.5,U 226,−950,−105,−105
ATL Hawks,-5.5,O 240,−210,−110,−110
CHA Hornets,+5.5,U 240,+180,−110,−110
UTA Jazz,-1.5,O 238,−120,−110,−110
IND Pacers,+1.5,U 238,+100,−110,−110
BKN Nets,+2.5,O 220.5,+120,−110,−110
NY Knicks,-2.5,U 220.5,−140,−110,−110
DEN Nuggets,-1.5,O 219.5,−120,−110,−110
MIA Heat,+1.5,U 219.5,+100,−110,−110
ORL Magic,+5,O 225,+165,−115,−110
CHI Bulls,-5,U 225,−195,−105,−110
NO Pelicans,+2.5,O 236,+120,−110,−110
OKC Thunder,-2.5,U 236,−140,−110,−110
MIN Timberwolves,+7.5,O 232,+250,−110,−110
DAL Mavericks,-7.5,U 232,−300,−110,−110
LA Lakers,+1,O 237.5,−105,−110,−110
POR Trail Blazers,-1,U 237.5,−115,−110,−110
WAS Wizards,+3,O 234,+135,−105,−110
GS Warriors,-3,U 234,−155,−115,−110
