name,minutes,OUT,GTD,team
Jimmy Butler,36.0,0,0,Heat
Tyler Herro,35.0,0,0,Heat
Bam Adebayo,35.0,0,1,Heat
Max Strus,24.0,0,0,Heat
Gabe Vincent,22.0,0,0,Heat
Kyle Lowry,26.0,0,1,Heat
Caleb Martin,25.0,0,0,Heat
Kevin Love,19.0,0,0,Heat
Cody Zeller,12.0,0,0,Heat
Victor Oladipo,8.0,0,0,Heat
Duncan Robinson,0.0,0,0,Heat
Jamal Cain,0.0,0,0,Heat
Haywood Highsmith,0.0,0,0,Heat
Omer Yurtseven,0.0,0,0,Heat
Udonis Haslem,0.0,0,0,Heat
Orlando Robinson,0.0,0,0,Heat
Nikola Jovic,0.0,1,0,Heat
Jaden Ivey,35.0,0,0,Pistons
Isaiah Livers,35.0,0,0,Pistons
Killian Hayes,33.0,0,0,Pistons
Eugene Omoruyi,28.0,0,0,Pistons
James Wiseman,25.0,0,0,Pistons
Cory Joseph,27.0,0,0,Pistons
Jalen Duren,25.0,0,0,Pistons
R.J. Hampton,20.0,0,0,Pistons
Jared Rhoden,11.0,0,0,Pistons
Buddy Boeheim,1.0,0,0,Pistons
Rodney McGruder,0.0,1,0,Pistons
Marvin Bagley,0.0,1,0,Pistons
Isaiah Stewart,0.0,1,0,Pistons
Alec Burks,0.0,1,0,Pistons
B. Bogdanovic,0.0,1,0,Pistons
Hamidou Diallo,0.0,1,0,Pistons
Donovan Mitchell,39.0,0,0,Cavaliers
Darius Garland,38.0,0,0,Cavaliers
Evan Mobley,36.0,0,0,Cavaliers
Jarrett Allen,33.0,0,0,Cavaliers
Dean Wade,9.0,0,0,Cavaliers
Caris LeVert,34.0,0,0,Cavaliers
Lamar Stevens,20.0,0,0,Cavaliers
Cedi Osman,17.0,0,0,Cavaliers
Ricky Rubio,16.0,0,0,Cavaliers
Mamadi Diakite,1.0,0,0,Cavaliers
Raul Neto,0.0,0,0,Cavaliers
Robin Lopez,0.0,0,0,Cavaliers
Danny Green,0.0,0,0,Cavaliers
Sam Merrill,0.0,0,0,Cavaliers
Isaiah Mobley,0.0,0,0,Cavaliers
