,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Live Cleveland,New York,10:00:00,+3,-3,+1,-1,+115,-147,-104,-116
1,Sacramento,Golden State,12:30:00,+8,-8,+7,-7,+245,-370,+265,-315
2,Boston,Atlanta,16:00:00,-5,+5,-7,+7,-244,+185,-260,+220
