TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
PHO Suns,+2.5,O 228.5,+110,−110,−110
MIL Bucks,-2.5,U 228.5,−140,−120,−120
BKN Nets,+5.5,O 233.5,+185,−110,−110
ATL Hawks,-5.5,U 233.5,−215,−110,−110
LA Lakers,+4,O 236,+150,−110,−110
DAL Mavericks,-4,U 236,−175,−110,−110
WAS Wizards,+5,O 223.5,+175,−105,−105
CHI Bulls,-5,U 223.5,−205,−115,−115
TOR Raptors,+7.5,O 217.5,+235,−115,−110
CLE Cavaliers,-7.5,U 217.5,−280,−105,−110
SAC Kings,-4,O 239,−175,−110,−110
OKC Thunder,+4,U 239,+150,−110,−110
MIN Timberwolves,+2.5,O 233.5,+120,−110,−110
GS Warriors,-2.5,U 233.5,−140,−110,−110
HOU Rockets,+9.5,O 230,+350,−110,−110
POR Trail Blazers,-9.5,U 230,−435,−110,−110
LA Clippers,+2.5,O 234,+120,−110,−110
DEN Nuggets,-2.5,U 234,−140,−110,−110
