TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
PHI 76ers,-10.5,O 227.5,−490,−110,−110
CHA Hornets,+10.5,U 227.5,+390,−110,−110
WAS Wizards,+5.5,O 221,+180,−115,−110
CLE Cavaliers,-5.5,U 221,−210,−105,−110
GS Warriors,+4,O 248,+155,−105,−105
ATL Hawks,-4,U 248,−180,−115,−115
MEM Grizzlies,-8.5,O 234.5,−350,−110,−110
SA Spurs,+8.5,U 234.5,+290,−110,−110
NO Pelicans,-5.5,O 228.5,−210,−110,−110
HOU Rockets,+5.5,U 228.5,+180,−110,−110
MIN Timberwolves,+2.5,O 224.5,+125,−110,−110
CHI Bulls,-2.5,U 224.5,−145,−110,−110
BOS Celtics,-4.5,O 229.5,−190,−110,−110
POR Trail Blazers,+4.5,U 229.5,+160,−110,−110
DAL Mavericks,+5.5,O 226.5,+190,−110,−110
LA Lakers,-5.5,U 226.5,−225,−110,−110
