TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
SAC Kings,-11.5,O 254.5,−1700,−120,−115
SA Spurs,+11.5,U 254.5,+900,−110,−115
ORL Magic,+12.5,O 235.5,+625,−105,−110
DEN Nuggets,-12.5,U 235.5,−1000,−125,−120
DAL Mavericks,+8.5,O 223.5,+310,−105,−110
POR Trail Blazers,-8.5,U 223.5,−380,−115,−110
PHI 76ers,-5,O 235.5,−210,−115,−110
LA Lakers,+5,U 235.5,+180,−105,−110
