TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
SAS,PG,27.2,14.3,3.1,4.1,1.0,0.3,1.5,1.9,49.6,81.3
GSW,PG,26.8,13.2,3.5,4.4,1.0,0.3,1.6,1.6,44.9,81.1
SAC,PG,26.5,13.9,3.2,4.1,1.0,0.2,1.8,1.6,46.7,85.2
MIN,PG,26.4,13.5,3.5,4.2,0.9,0.2,1.9,1.7,44.4,80.7
ATL,C,26.4,11.7,7.2,1.8,0.7,0.9,1.3,0.6,59.3,77.6
TOR,PG,25.7,12.9,3.3,4.4,0.9,0.3,2.2,1.5,46.0,82.5
OKC,PG,25.7,12.9,3.3,4.1,0.9,0.3,2.0,1.6,43.1,85.3
DET,PG,25.5,12.8,3.0,4.2,0.9,0.3,1.4,1.4,45.3,82.1
LAL,PG,25.5,13.0,3.1,4.1,0.9,0.3,1.6,1.5,44.9,80.9
BKN,PG,25.4,12.5,3.3,4.0,1.1,0.2,1.6,1.7,42.5,83.6
CHA,PG,25.4,13.1,3.2,4.1,0.7,0.3,1.9,1.7,46.7,83.0
DEN,PG,25.4,12.9,2.9,4.7,0.7,0.2,1.6,1.5,44.8,82.9
IND,PG,25.4,13.1,3.0,3.9,0.9,0.3,1.6,1.7,42.4,86.3
CHA,C,25.3,10.6,6.7,1.9,0.6,1.1,1.3,0.6,53.4,73.0
HOU,PG,25.2,12.3,2.7,4.2,1.1,0.3,1.4,1.8,43.5,81.0
IND,C,25.1,10.8,7.0,1.8,0.6,0.8,1.5,0.5,55.9,75.5
ORL,PG,25.1,12.5,2.8,4.4,1.0,0.3,1.8,1.4,43.8,84.2
GSW,C,25.0,11.4,6.7,1.9,0.6,0.7,1.7,0.6,54.1,72.4
SAS,C,24.9,11.2,6.5,2.0,0.5,0.8,1.4,0.5,57.9,70.9
MIA,SG,24.8,13.1,3.6,3.2,0.8,0.3,1.8,2.1,45.1,78.5
BKN,SG,24.8,13.7,3.1,2.9,0.8,0.3,1.4,2.3,45.0,80.4
NYK,PG,24.8,12.2,3.3,4.0,0.7,0.4,1.5,1.5,42.1,80.7
LAC,PG,24.8,11.9,3.2,4.0,1.0,0.3,1.4,1.6,42.5,81.6
CHI,SG,24.7,12.9,3.6,3.2,0.7,0.4,1.6,1.9,45.5,79.5
CHI,PG,24.6,12.3,3.2,4.0,0.8,0.4,1.8,1.6,44.1,83.8
OKC,C,24.5,10.5,6.9,1.9,0.5,0.9,1.5,0.5,58.1,73.4
CHI,PF,24.4,11.4,5.5,2.2,0.6,0.6,1.1,1.4,48.4,77.8
PHX,C,24.4,10.5,6.7,2.0,0.7,0.7,1.5,0.5,56.4,78.6
ATL,PF,24.3,11.6,5.4,2.0,0.6,0.7,1.2,1.1,46.6,85.4
OKC,PF,24.1,11.6,5.5,1.7,0.7,0.8,1.4,1.2,48.1,78.0
UTA,SG,24.1,13.8,3.3,2.5,0.8,0.3,1.3,1.8,45.1,84.2
DET,C,24.1,10.3,6.7,1.6,0.5,1.0,1.3,0.5,57.9,72.2
NOP,PG,24.1,11.9,2.7,4.3,0.8,0.3,1.8,1.5,43.5,79.8
UTA,PG,24.0,12.7,3.0,3.5,0.8,0.3,1.6,1.5,45.7,80.8
MIL,PG,24.0,12.7,3.1,3.4,0.8,0.3,1.3,1.5,44.6,81.4
GSW,SG,24.0,12.7,3.3,3.1,0.9,0.3,1.4,1.8,43.7,81.3
MIA,SF,24.0,12.4,4.4,2.5,0.8,0.3,1.7,1.6,49.7,77.9
WAS,PG,23.9,11.9,3.1,3.8,0.8,0.3,1.5,1.4,43.3,81.2
IND,PF,23.9,11.2,5.4,2.1,0.7,0.6,1.4,1.2,48.6,77.4
POR,PG,23.8,11.8,3.1,4.2,0.8,0.2,1.7,1.4,43.7,83.1
LAL,C,23.8,10.0,6.3,2.0,0.6,0.8,1.1,0.5,57.7,67.8
CHA,PF,23.7,11.2,5.1,2.2,0.6,0.7,1.2,1.2,49.1,80.3
ATL,PG,23.7,11.1,3.3,4.1,0.9,0.3,1.6,1.1,42.7,82.6
HOU,PF,23.6,11.1,5.1,2.0,0.7,0.8,1.2,1.2,51.4,77.8
MIN,SG,23.6,12.7,3.4,2.9,0.9,0.2,1.7,1.8,45.9,77.9
PHI,SG,23.6,12.6,3.3,2.9,0.8,0.4,1.5,1.7,45.8,82.7
MIA,PG,23.6,11.6,3.1,4.0,0.8,0.2,1.9,1.7,42.6,82.7
TOR,C,23.4,10.5,6.6,1.5,0.3,0.8,1.5,0.6,57.0,73.4
MEM,PF,23.4,11.4,4.8,2.1,0.6,0.8,1.4,1.2,46.0,81.9
UTA,C,23.3,10.5,6.1,1.8,0.5,0.9,1.4,0.4,56.1,73.3
MEM,PG,23.3,11.2,3.3,4.0,0.7,0.2,1.5,1.5,40.7,82.0
HOU,SG,23.2,12.9,2.9,2.4,1.0,0.3,1.1,2.2,46.7,81.1
WAS,SG,23.1,12.6,3.5,2.6,0.8,0.3,1.3,1.7,45.1,82.7
SAC,C,23.1,10.0,5.9,2.1,0.5,0.9,1.3,0.5,57.3,72.0
DAL,PG,23.1,12.1,2.9,3.7,0.8,0.2,1.5,1.3,44.3,84.9
BOS,PG,23.1,12.2,3.0,3.3,0.7,0.3,1.4,1.5,45.5,83.3
DAL,PF,22.9,11.2,5.2,1.9,0.6,0.5,1.2,1.2,50.3,77.5
MIN,PF,22.9,11.4,4.7,1.8,0.9,0.5,1.2,1.3,46.6,78.2
DET,PF,22.9,11.1,5.4,1.7,0.5,0.7,1.2,1.1,52.4,78.6
SAC,SG,22.8,12.9,3.0,2.4,0.9,0.3,1.5,1.7,45.8,82.0
PHI,PG,22.7,11.1,2.8,4.0,0.8,0.2,1.6,1.2,42.9,81.2
ATL,SF,22.7,12.0,4.0,2.1,0.8,0.4,1.3,1.3,45.4,83.1
LAC,PF,22.6,10.5,5.2,1.9,0.8,0.6,1.2,1.0,47.5,75.1
OKC,SF,22.5,11.4,4.0,2.2,0.9,0.5,1.5,1.4,44.7,79.3
CHI,C,22.5,9.8,5.8,1.9,0.5,0.8,1.4,0.6,57.0,67.5
PHX,PF,22.5,11.0,4.9,1.9,0.8,0.5,1.3,1.0,51.7,77.4
LAL,PF,22.4,10.3,4.9,2.0,0.7,0.6,1.0,1.0,46.7,72.8
PHX,PG,22.4,12.0,2.7,3.4,0.7,0.2,1.5,1.5,43.7,83.1
