TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
CLE Cavaliers,-5,O 222−110,−205,−110
ORL Magic,+5,U 222−110,+175,−110
MIL Bucks,-13.5,O 230.5−105,−950,−110
WAS Wizards,+13.5,U 230.5−115,+650,−110
MIA Heat,-13,O 218−110,−900,−110
DET Pistons,+13,U 218−110,+625,−110
TOR Raptors,-14.5,O 222.5−110,−975,−110
CHA Hornets,+14.5,U 222.5−110,+675,−110
MIN Timberwolves,-1.5,O 224.5−110,−125,−110
BKN Nets,+1.5,U 224.5−110,+105,−110
BOS Celtics,+2,O 227.5−110,+115,−110
PHI 76ers,-2,U 227.5−110,−135,−110
POR Trail Blazers,+17.5,O 228.5−110,+1000,−110
MEM Grizzlies,-17.5,U 228.5−110,−1800,−110
DEN Nuggets,-9,O 230−110,−390,−105
HOU Rockets,+9,U 230−110,+320,−115
SAC Kings,+4,O 236−115,+140,−110
NO Pelicans,-4,U 236−105,−165,−110
ATL Hawks,+3.5,O 235−110,+140,−110
CHI Bulls,-3.5,U 235−110,−165,−110
LA Lakers,-9.5,O 236.5−110,−435,−110
UTA Jazz,+9.5,U 236.5−110,+350,−110
OKC Thunder,+8,O 242.5−110,+280,−105
GS Warriors,-8,U 242.5−110,−340,−115
SA Spurs,+19,O 235.5−115,+1200,−110
PHO Suns,-19,U 235.5−105,−2400,−110
