TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
NY Knicks,-1,O 224.5,−115,−110,−110
ORL Magic,+1,U 224.5,−105,−110,−110
PHO Suns,-7.5,O 224.5,−300,−110,−110
BKN Nets,+7.5,U 224.5,+250,−110,−110
ATL Hawks,+2,O 237,+110,−110,−110
NO Pelicans,-2,U 237,−130,−110,−110
CHI Bulls,+9.5,O 233.5,+340,−110,−110
MEM Grizzlies,-9.5,U 233.5,−425,−110,−110
MIN Timberwolves,+9.5,O 233,+330,−110,−110
DEN Nuggets,-9.5,U 233,−410,−110,−110
OKC Thunder,+6.5,O 239.5,+210,−110,−110
LA Lakers,-6.5,U 239.5,−250,−110,−110
