TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
PHI 76ers,+3.5,O 194.5−110,+150,−105
BKN Nets,-3.5,U 194.5−120,−185,−125
PHO Suns,-7.5,O 227.5−110,−315,−110
LA Clippers,+7.5,U 227.5−110,+260,−110
MIL Bucks,-5,O 220−110,−200,−110
MIA Heat,+5,U 220−110,+170,−110
MEM Grizzlies,+4.5,O 220−110,+165,−105
LA Lakers,-4.5,U 220−110,−195,−115
