Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
SAS,DET,D. Graham  ,M. Branham  ,D. McDermott  ,K. Bates-Diop  , Zach Collins ,Killian Hayes  ,Jaden Ivey  ,B. Bogdanovic  ,I. Stewart  , Jalen Duren ,Expected Lineup             ,Expected Lineup             
PHX,IND,Chris Paul  ,Devin Booker  ,Torrey Craig  ,Jock Landale  , Deandre Ayton ,T. Haliburton  ,A. Nembhard  ,Buddy Hield  ,Aaron Nesmith  , Myles Turner ,Expected Lineup             ,Expected Lineup             
NYK,PHI,Jalen Brunson  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , Jericho Sims ,James Harden  ,D. Melton  ,Tobias Harris  ,P.J. Tucker  , J. Embiid GTD ,Expected Lineup             ,Expected Lineup             
CHA,BOS,LaMelo Ball  ,Terry Rozier  ,G. Hayward  ,P. Washington  , Mark Williams ,Derrick White  ,Sam Hauser  ,J. Tatum GTD  ,Al Horford GTD  , R. Williams ,Expected Lineup             ,Expected Lineup             
UTA,TOR,Collin Sexton  ,J. Clarkson GTD  ,L. Markkanen  ,Kelly Olynyk  , W. Kessler ,Fred VanVleet  ,Gary Trent  ,S. Barnes  ,Pascal Siakam  , P. Achiuwa ,Expected Lineup             ,Expected Lineup             
HOU,MIA,Daishen Nix  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,G. Vincent GTD  ,Tyler Herro  ,Caleb Martin  ,Jimmy Butler  , Bam Adebayo ,Expected Lineup             ,Expected Lineup             
MIN,MEM,M. Conley GTD  ,A. Edwards  ,J. McDaniels  ,K. Anderson GTD  , R. Gobert GTD ,Ja Morant  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Expected Lineup             ,Expected Lineup             
CLE,NOP,D. Garland  ,D. Mitchell  ,Isaac Okoro  ,Evan Mobley  , Jarrett Allen ,CJ McCollum  ,B. Ingram  ,Trey Murphy  ,Herbert Jones  , J. Valanciunas ,Expected Lineup             ,Expected Lineup             
OKC,POR,S. Gilgeous-Alexander  ,Josh Giddey  ,Aaron Wiggins  ,J. Williams  , J. Williams ,D. Lillard  ,A. Simons  ,Nassir Little  ,Jerami Grant  , Drew Eubanks ,Expected Lineup             ,Expected Lineup             
DAL,SAC,Jaden Hardy  ,Kyrie Irving  ,Tim Hardaway  ,R. Bullock  , Dwight Powell ,De'Aaron Fox  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,Expected Lineup             ,Expected Lineup             
MIL,LAC,Jrue Holiday  ,Grayson Allen  ,P. Connaughton  ,G. Antetokounmpo GTD  , Brook Lopez ,Terance Mann  ,Paul George  ,Norman Powell  ,Marcus Morris  , Ivica Zubac ,Expected Lineup             ,Expected Lineup             
