TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
GS Warriors,-24.5,O 260.5,−4000,−105,−115
SA Spurs,+24.5,U 260.5,+1300,−125,−115
OKC Thunder,-2.5,O 242.5,−175,−110,−120
CHI Bulls,+2.5,U 242.5,+140,−120,−110
PHO Suns,+15.5,O 223.5,+1200,−110,−110
MIN Timberwolves,-15.5,U 223.5,−3000,−120,−120
ORL Magic,+5.5,O 240.5,+195,−115,−115
UTA Jazz,-5.5,U 240.5,−240,−115,−115
HOU Rockets,+9.5,O 238.5,+340,−110,−110
SAC Kings,-9.5,U 238.5,−425,−110,−110
DEN Nuggets,+5,O 222,+170,−110,−110
LA Clippers,-5,U 222,−200,−110,−110
