Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
PHX,DAL,Chris Paul  ,Devin Booker  ,Josh Okogie  ,Kevin Durant  , Deandre Ayton ,Luka Doncic  ,Kyrie Irving  ,Josh Green  ,R. Bullock  , Dwight Powell ,Confirmed Lineup             ,Confirmed Lineup             
IND,CHI,T. Haliburton  ,A. Nembhard  ,Buddy Hield  ,Jordan Nwora  , Myles Turner ,P. Beverley  ,Alex Caruso  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,Confirmed Lineup             ,Confirmed Lineup             
GSW,LAL,Stephen Curry  ,Klay Thompson  ,D. DiVincenzo  ,D. Green  , Kevon Looney ,D. Schroder  ,Malik Beasley  ,Troy Brown  ,J. Vanderbilt  , Anthony Davis ,Confirmed Lineup             ,Confirmed Lineup             
CHA,BKN,Terry Rozier  ,Kelly Oubre  ,G. Hayward  ,P. Washington  , Mark Williams ,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith  , Nic Claxton ,Confirmed Lineup             ,Confirmed Lineup             
POR,ORL,D. Lillard  ,Cam Reddish  ,M. Thybulle  ,Jerami Grant  , Drew Eubanks ,M. Fultz  ,Jalen Suggs  ,Franz Wagner  ,P. Banchero  , Moritz Wagner ,Confirmed Lineup             ,Confirmed Lineup             
SAS,HOU,M. Branham  ,Devin Vassell  ,K. Johnson  ,K. Bates-Diop  , C. Bassey ,Kevin Porter  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Confirmed Lineup             ,Confirmed Lineup             
UTA,OKC,J. Clarkson  ,Ochai Agbaji  ,T. Horton-Tucker  ,Kelly Olynyk  , W. Kessler ,S. Gilgeous-Alexander  ,Josh Giddey  ,Luguentz Dort  ,J. Williams  , J. Williams ,Confirmed Lineup             ,Confirmed Lineup             
NYK,BOS,Miles McBride  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , M. Robinson ,Marcus Smart  ,Jaylen Brown  ,Jayson Tatum  ,Al Horford  , Mike Muscala ,Expected Lineup             ,Expected Lineup             
MIL,WAS,Jrue Holiday  ,Grayson Allen  ,P. Connaughton  ,G. Antetokounmpo  , Brook Lopez ,Delon Wright  ,Bradley Beal  ,Anthony Gill  ,K. Porzingis  , D. Gafford ,Expected Lineup             ,Confirmed Lineup             
MEM,LAC,Tyus Jones  ,Desmond Bane  ,John Konchar  ,Jaren Jackson  , X. Tillman ,R. Westbrook  ,Paul George  ,Kawhi Leonard  ,Marcus Morris  , I. Zubac GTD ,Expected Lineup             ,Expected Lineup             
