Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
TOR,CHA,Fred VanVleet  ,OG Anunoby GTD  ,S. Barnes  ,Pascal Siakam  , Jakob Poeltl ,Theo Maledon  ,S. Mykhailiuk  ,B. McGowens  ,JT Thor  , Mark Williams ,Confirmed Lineup             ,Confirmed Lineup             
MEM,CHI,Ja Morant  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,P. Beverley  ,Alex Caruso  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,Confirmed Lineup             ,Confirmed Lineup             
POR,MIN,Skylar Mays  ,S. Sharpe  ,M. Thybulle  ,T. Watford  , Drew Eubanks ,Mike Conley  ,A. Edwards  ,J. McDaniels  ,K. Towns  , Rudy Gobert ,Confirmed Lineup             ,Confirmed Lineup             
UTA,BKN,T. Horton-Tucker  ,Ochai Agbaji  ,L. Markkanen  ,Kelly Olynyk  , W. Kessler OUT ,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith  , Nic Claxton ,Confirmed Lineup             ,Confirmed Lineup             
DAL,ATL,Luka Doncic  ,Kyrie Irving  ,Tim Hardaway  ,R. Bullock  , Dwight Powell ,Trae Young  ,D. Murray  ,Saddiq Bey  ,John Collins  , Clint Capela ,Expected Lineup             ,Expected Lineup             
WAS,NYK,Delon Wright  ,Johnny Davis  ,Corey Kispert  ,Deni Avdija  , D. Gafford ,Jalen Brunson  ,Q. Grimes  ,Josh Hart  ,Obi Toppin  , M. Robinson ,Expected Lineup             ,Expected Lineup             
DET,ORL,Killian Hayes  ,Jaden Ivey  ,Isaiah Livers  ,Marvin Bagley  , James Wiseman ,M. Fultz  ,Gary Harris  ,Franz Wagner  ,P. Banchero  , W. Carter ,Expected Lineup             ,Confirmed Lineup             
SAS,SAC,Tre Jones  ,M. Branham  ,K. Bates-Diop  ,J. Champagnie  , Zach Collins ,De'Aaron Fox  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,Expected Lineup             ,Expected Lineup             
LAL,HOU,D. Russell  ,Austin Reaves  ,L. James GTD  ,J. Vanderbilt  , A. Davis GTD ,Kevin Porter  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Expected Lineup             ,Expected Lineup             
PHX,OKC,Chris Paul  ,Devin Booker  ,Josh Okogie  ,Kevin Durant  , Deandre Ayton ,S. Gilgeous-Alexander  ,Josh Giddey  ,Luguentz Dort  ,J. Williams  , J. Williams ,Expected Lineup             ,Expected Lineup             
IND,CLE,A. Nembhard  ,B. Mathurin  ,Aaron Nesmith  ,Jordan Nwora  , I. Jackson ,D. Garland  ,D. Mitchell  ,Caris LeVert  ,Evan Mobley  , J. Allen GTD ,Expected Lineup             ,Expected Lineup             
PHI,MIL,James Harden  ,Tyrese Maxey  ,Tobias Harris  ,P.J. Tucker  , Joel Embiid ,Jrue Holiday  ,Grayson Allen  ,K. Middleton  ,G. Antetokounmpo  , Brook Lopez ,Expected Lineup             ,Expected Lineup             
GSW,DEN,Stephen Curry  ,Klay Thompson  ,D. DiVincenzo  ,J. Kuminga  , D. Green ,J. Murray GTD  ,K. Caldwell-Pope GTD  ,M. Porter GTD  ,Aaron Gordon  , N. Jokic GTD ,Expected Lineup             ,Expected Lineup             
