TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
BOS Celtics,-8.5,O 231.5,−340,−110,−110
CHA Hornets,+8.5,U 231.5,+280,−110,−110
IND Pacers,+10.5,O 227,+440,−110,−110
MIL Bucks,-10.5,U 227,−580,−110,−110
NO Pelicans,+6.5,O 222,+220,−110,−110
CLE Cavaliers,-6.5,U 222,−260,−110,−110
TOR Raptors,+3,,+130,−110,
NY Knicks,-3,,−150,−110,
GS Warriors,-3,,−150,−110,
WAS Wizards,+3,,+130,−110,
MIA Heat,-1.5,,−120,−110,
ATL Hawks,+1.5,,+100,−110,
UTA Jazz,+2.5,,+120,−110,
MIN Timberwolves,-2.5,,−140,−110,
PHO Suns,+9.5,,+360,−110,
MEM Grizzlies,-9.5,,−450,−110,
HOU Rockets,+6.5,,+220,−110,
LA Lakers,-6.5,,−260,−110,
