Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
TOR,WAS,Fred VanVleet  ,OG Anunoby  ,S. Barnes  ,Pascal Siakam  , Jakob Poeltl ,Delon Wright  ,Bradley Beal  ,Kyle Kuzma  ,K. Porzingis  , D. Gafford ,Expected Lineup             ,Confirmed Lineup             
DET,CLE,Killian Hayes  ,Jaden Ivey  ,R. McGruder  ,I. Livers GTD  , James Wiseman ,D. Garland  ,D. Mitchell  ,Isaac Okoro  ,Evan Mobley  , Jarrett Allen ,Expected Lineup             ,Expected Lineup             
ATL,MIA,Trae Young  ,D. Murray  ,D. Hunter  ,John Collins  , Clint Capela ,Gabe Vincent  ,Tyler Herro  ,J. Butler GTD  ,Kevin Love  , Bam Adebayo ,Expected Lineup             ,Expected Lineup             
HOU,SAS,Kevin Porter  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Tre Jones  ,Blake Wesley  ,K. Bates-Diop  ,Jeremy Sochan  , Zach Collins ,Expected Lineup             ,Expected Lineup             
PHI,MIL,James Harden  ,Tyrese Maxey  ,Tobias Harris  ,P.J. Tucker  , Joel Embiid ,Jrue Holiday  ,Grayson Allen  ,P. Connaughton  ,G. Antetokounmpo  , Brook Lopez ,Expected Lineup             ,Expected Lineup             
MIN,SAC,Mike Conley  ,A. Edwards  ,J. McDaniels  ,Kyle Anderson  , Rudy Gobert ,De'Aaron Fox  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,Expected Lineup             ,Expected Lineup             
