TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
LA Lakers,+9,O 230.5,+320,−110,−110
MEM Grizzlies,-9,U 230.5,−390,−110,−110
MIL Bucks,-6.5,O 230.5,−250,−110,−110
BKN Nets,+6.5,U 230.5,+210,−110,−110
WAS Wizards,+6.5,O 234.5,+220,−105,−110
ATL Hawks,-6.5,U 234.5,−260,−115,−110
CHI Bulls,+4.5,O 219,+165,−105,−110
TOR Raptors,-4.5,U 219,−195,−115,−110
DEN Nuggets,-10.5,O 231.5,−520,−110,−110
HOU Rockets,+10.5,U 231.5,+410,−110,−110
SAC Kings,-3,O 234.5,−150,−110,−110
OKC Thunder,+3,U 234.5,+130,−110,−110
IND Pacers,+9,O 237,+310,−110,−115
DAL Mavericks,-9,U 237,−380,−110,−105
SA Spurs,+9.5,O 236,+370,−110,−110
UTA Jazz,-9.5,U 236,−460,−110,−110
MIN Timberwolves,+6.5,O 233.5,+210,−110,−110
LA Clippers,-6.5,U 233.5,−250,−110,−110
POR Trail Blazers,+4,O 236,+150,−110,−115
GS Warriors,-4,U 236,−175,−110,−105
