TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
ORL Magic,+8.5,O 230.5,+290,−105,−110
PHI 76ers,-8.5,U 230.5,−350,−115,−110
LA Lakers,+8.5,O 230,+295,−105,−110
BKN Nets,-8.5,U 230,−360,−115,−110
GS Warriors,-5,O 242,−195,−115,−110
OKC Thunder,+5,U 242,+165,−105,−110
SAC Kings,-1,O 237.5,−120,−115,−110
MIN Timberwolves,+1,U 237.5,+100,−105,−110
WAS Wizards,-6,O 241.5,−225,−115,−105
SA Spurs,+6,U 241.5,+190,−105,−115
DET Pistons,+8.5,O 229.5,+280,−115,−110
DAL Mavericks,-8.5,U 229.5,−340,−105,−110
TOR Raptors,+2,O 221,+105,−115,−110
PHO Suns,-2,U 221,−125,−105,−110
ATL Hawks,+2,O 237,+110,−105,−110
POR Trail Blazers,-2,U 237,−130,−115,−110
