TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
BOS Celtics,,,−8000,,
CHA Hornets,,,+1400,,
MEM Grizzlies,-22.5,O 239.5,−7000,−125,−110
IND Pacers,+22.5,U 239.5,+1600,−105,−120
ATL Hawks,-6.5,O 238.5,−400,−120,−120
TOR Raptors,+6.5,U 238.5,+300,−110,−110
CLE Cavaliers,-3.5,O 211.5,−205,−120,−115
MIN Timberwolves,+3.5,U 211.5,+165,−110,−115
PHI 76ers,-6.5,O 231,−265,−110,−115
UTA Jazz,+6.5,U 231,+225,−110,−105
