,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Live Dallas,Charlotte,10:00:00,-9.5,+9.5,-12,+12,-526,+340,-700,+520
1,Chicago,LA Lakers,12:30:00,+4.5,-4.5,+5,-5,+160,-189,+175,-205
2,San Antonio,Boston,15:00:00,+16.5,-16.5,+16,-16,+900,-3333,+870,-1500
3,Houston,Cleveland,15:00:00,+13.5,-13.5,+14,-14,+720,-1111,+660,-1000
4,Brooklyn,Orlando,15:00:00,+2.5,-2.5,+1,-1,+119,-141,-106,-114
5,Washington,Toronto,15:00:00,+5.5,-5.5,+9.5,-9.5,+190,-233,+360,-450
6,Memphis,Atlanta,15:00:00,-1.5,+1.5,-2,+2,-127,+108,-130,+110
7,Oklahoma City,Portland,16:00:00,-6.5,+6.5,-10,+10,-275,+230,-470,+380
