TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
BOS Celtics,-1,O 225.5,−125,−115,−110
TOR Raptors,+1,U 225.5,+105,−105,−110
ORL Magic,+7,O 230,+230,−105,−110
WAS Wizards,-7,U 230,−275,−115,−110
CHA Hornets,+8,O 235,+260,−110,−105
ATL Hawks,-8,U 235,−315,−110,−115
MIL Bucks,+3,O 218,+125,−115,−110
CLE Cavaliers,-3,U 218,−145,−105,−110
HOU Rockets,+8.5,O 238.5,+285,−105,−110
MIN Timberwolves,-8.5,U 238.5,−345,−115,−110
IND Pacers,+4,O 229,+145,−110,−110
PHO Suns,-4,U 229,−170,−110,−110
PHI 76ers,pk,O 234,−110,−110,−110
SAC Kings,pk,U 234,−110,−110,−110
