TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
SAS,PG,27.0,13.8,3.2,4.2,1.0,0.3,1.5,1.7,49.1,83.6
MIN,PG,26.9,13.5,3.6,4.3,0.9,0.2,1.8,1.6,44.6,80.5
GSW,PG,26.1,13.2,3.3,4.2,0.9,0.3,1.7,1.6,44.6,80.9
HOU,PG,26.0,13.2,2.7,4.3,1.1,0.3,1.4,1.8,44.2,83.5
CHA,C,25.9,10.9,6.9,2.0,0.6,1.1,1.3,0.6,53.4,74.3
OKC,PG,25.8,13.3,3.1,4.2,0.9,0.3,1.9,1.7,43.9,83.0
LAL,PG,25.6,13.5,2.9,4.1,0.9,0.3,1.6,1.6,45.0,82.3
DET,PG,25.4,12.5,3.0,4.1,1.0,0.3,1.4,1.5,45.1,81.7
TOR,PG,25.3,12.6,3.2,4.4,0.8,0.3,2.1,1.5,47.0,83.6
ATL,C,25.3,11.3,6.8,1.8,0.7,0.8,1.4,0.6,59.1,77.4
WAS,PG,25.2,13.0,3.2,3.8,0.9,0.3,1.5,1.5,44.3,83.5
BKN,PG,25.1,12.7,3.3,3.8,1.0,0.2,1.5,1.6,44.0,84.7
CHI,PG,25.0,12.4,3.4,4.1,0.8,0.3,1.8,1.6,43.7,84.2
DEN,PG,25.0,12.8,2.8,4.5,0.7,0.2,1.6,1.4,45.1,83.3
IND,PG,25.0,12.7,3.1,3.9,0.9,0.3,1.6,1.7,43.1,85.6
UTA,PG,24.9,13.1,3.2,3.6,0.8,0.3,1.5,1.5,45.7,80.2
POR,PG,24.8,12.2,3.1,4.3,0.8,0.2,1.6,1.5,45.3,84.8
SAS,C,24.8,10.9,6.5,1.8,0.6,0.9,1.3,0.5,57.4,69.9
MIA,PG,24.7,12.3,3.1,4.1,0.9,0.2,1.9,1.8,43.0,80.2
ORL,PG,24.7,12.3,2.9,4.2,1.0,0.3,1.8,1.5,43.7,83.8
SAC,PG,24.7,12.8,3.0,4.0,0.9,0.2,1.6,1.5,45.9,84.5
MIL,PG,24.6,12.9,3.3,3.6,0.8,0.2,1.3,1.4,44.1,82.7
UTA,SG,24.6,13.6,3.4,2.7,0.8,0.3,1.2,1.8,44.7,83.1
BKN,SG,24.5,13.6,3.3,2.7,0.8,0.3,1.3,2.1,45.4,79.3
CHI,SG,24.5,12.8,3.5,3.1,0.8,0.4,1.5,2.0,44.2,82.0
BOS,PG,24.5,12.8,3.1,3.6,0.9,0.3,1.3,1.5,44.2,81.4
SAC,SG,24.5,13.5,3.2,2.8,1.0,0.3,1.5,1.8,47.3,80.1
LAC,PG,24.5,12.0,3.0,4.0,1.0,0.3,1.3,1.5,44.1,80.4
IND,C,24.3,10.5,6.6,1.8,0.6,0.9,1.4,0.5,57.3,74.3
CHA,PG,24.3,12.3,3.0,4.0,0.7,0.4,1.7,1.5,45.6,83.4
GSW,C,24.3,10.7,6.6,2.0,0.6,0.6,1.5,0.6,54.4,71.5
ATL,PG,24.1,12.0,3.0,4.0,0.9,0.3,1.6,1.3,44.0,84.0
NYK,PG,24.1,12.0,3.1,3.8,0.8,0.4,1.4,1.5,42.1,82.1
IND,SG,24.0,12.7,3.6,2.9,0.9,0.3,1.6,1.8,44.7,85.8
CHA,PF,23.8,11.3,5.2,2.2,0.6,0.7,1.3,1.2,47.3,80.9
MIA,SG,23.7,12.5,3.3,3.0,0.9,0.3,1.7,2.0,44.5,78.9
ATL,SF,23.7,12.3,4.1,2.3,0.9,0.4,1.3,1.4,46.3,83.2
ATL,PF,23.7,11.7,5.1,2.0,0.6,0.6,1.2,1.2,48.5,84.4
LAL,C,23.7,9.8,6.5,1.9,0.6,0.8,1.1,0.5,57.0,68.5
NOP,PG,23.7,11.9,2.9,4.0,0.8,0.3,1.7,1.4,43.5,81.5
IND,PF,23.6,11.3,5.2,2.1,0.7,0.6,1.3,1.1,50.0,78.8
GSW,SG,23.6,12.5,3.3,2.9,0.9,0.3,1.5,1.7,44.2,78.7
SAC,SF,23.6,12.5,4.0,2.3,0.8,0.4,1.4,1.5,50.1,76.0
PHI,SG,23.6,12.9,3.1,2.8,0.8,0.4,1.4,1.8,46.0,83.9
HOU,SG,23.5,12.9,2.9,2.5,1.0,0.3,1.1,2.1,47.1,83.1
OKC,PF,23.5,11.0,5.5,1.9,0.6,0.7,1.4,1.1,48.8,77.4
WAS,SG,23.5,12.9,3.4,2.6,0.8,0.2,1.3,1.8,45.7,83.7
DAL,PG,23.4,12.1,2.9,3.9,0.8,0.2,1.5,1.3,45.6,84.6
DET,C,23.3,10.0,6.5,1.6,0.5,0.9,1.2,0.4,55.7,69.0
MIA,SF,23.3,12.2,4.2,2.4,0.8,0.3,1.6,1.5,49.9,78.2
MEM,PG,23.3,11.2,3.2,4.1,0.7,0.3,1.7,1.5,41.0,85.4
OKC,C,23.2,9.6,6.4,2.0,0.5,0.9,1.5,0.5,57.8,73.5
MIN,SG,23.2,12.5,3.3,2.8,0.9,0.2,1.5,1.7,45.9,78.7
