TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
SAS,PG,26.9,14.0,3.1,4.0,1.0,0.3,1.5,1.8,49.9,83.1
MIN,PG,26.8,13.6,3.6,4.3,0.9,0.2,1.8,1.7,44.9,81.0
GSW,PG,26.6,13.4,3.3,4.3,0.9,0.3,1.7,1.6,44.7,80.7
ATL,C,26.2,11.6,7.1,1.9,0.6,0.8,1.3,0.6,59.5,77.8
OKC,PG,25.8,13.1,3.2,4.2,0.9,0.3,2.0,1.6,43.7,83.7
BKN,PG,25.6,12.6,3.4,4.0,1.1,0.2,1.6,1.7,43.0,84.8
SAC,PG,25.6,13.3,3.1,4.0,1.0,0.2,1.7,1.6,46.5,85.2
CHA,C,25.6,10.8,6.8,2.0,0.6,1.1,1.3,0.6,53.3,74.3
TOR,PG,25.5,13.0,3.2,4.4,0.8,0.3,2.2,1.5,46.7,83.4
LAL,PG,25.5,13.4,2.9,4.0,0.9,0.3,1.6,1.5,45.1,82.1
CHI,PG,25.3,12.7,3.4,4.1,0.8,0.3,1.9,1.7,43.9,83.3
HOU,PG,25.2,12.4,2.7,4.2,1.2,0.3,1.4,1.7,43.4,81.9
WAS,PG,25.1,13.0,3.2,3.8,0.9,0.3,1.5,1.5,44.5,82.8
MIL,PG,25.0,13.1,3.2,3.6,0.8,0.3,1.3,1.5,44.5,82.6
DET,PG,25.0,12.5,3.0,4.0,1.0,0.3,1.4,1.4,45.5,82.3
ORL,PG,24.9,12.3,3.0,4.2,1.0,0.3,1.8,1.5,43.6,83.6
CHI,SG,24.9,12.9,3.6,3.2,0.8,0.4,1.6,2.0,44.6,80.5
BKN,SG,24.8,13.6,3.2,2.8,0.8,0.4,1.3,2.2,45.0,79.5
GSW,C,24.8,11.2,6.6,1.9,0.6,0.7,1.5,0.6,54.4,70.3
IND,C,24.8,10.6,6.8,1.8,0.6,0.9,1.4,0.5,56.6,72.9
SAS,C,24.8,11.1,6.4,1.9,0.6,0.8,1.3,0.5,58.4,70.9
IND,PG,24.7,12.5,3.0,3.9,0.9,0.3,1.6,1.7,42.3,85.3
OKC,C,24.6,10.3,6.8,1.9,0.5,0.9,1.5,0.5,58.5,71.7
DEN,PG,24.6,12.7,2.7,4.4,0.6,0.2,1.6,1.4,45.7,83.2
CHA,PG,24.6,12.7,3.0,3.9,0.7,0.3,1.8,1.6,47.1,83.2
NYK,PG,24.6,12.1,3.2,4.0,0.8,0.4,1.4,1.5,42.3,80.7
GSW,SG,24.4,13.0,3.4,3.0,0.9,0.3,1.5,1.8,44.6,79.9
UTA,PG,24.3,12.8,3.1,3.6,0.8,0.3,1.6,1.5,45.9,80.9
POR,PG,24.2,11.8,3.1,4.3,0.8,0.2,1.6,1.4,44.2,83.5
LAC,PG,24.2,11.8,3.1,3.9,0.9,0.3,1.3,1.5,43.2,80.8
SAC,SG,24.2,13.4,3.3,2.7,1.0,0.3,1.5,1.8,47.3,80.6
ATL,PF,24.1,11.8,5.2,2.1,0.7,0.7,1.2,1.1,47.7,84.6
PHI,SG,24.0,12.9,3.1,2.9,0.9,0.4,1.5,1.8,46.2,83.9
UTA,SG,24.0,13.5,3.3,2.6,0.8,0.3,1.3,1.7,44.7,83.2
MIA,SG,24.0,12.6,3.5,3.2,0.8,0.3,1.7,2.0,44.4,78.4
OKC,PF,24.0,11.3,5.6,1.8,0.7,0.8,1.4,1.1,47.9,77.4
MIA,PG,23.9,11.9,3.2,4.0,0.8,0.2,1.9,1.8,42.9,80.5
MEM,PG,23.9,11.4,3.3,4.1,0.8,0.3,1.6,1.5,41.1,85.2
ATL,PG,23.8,11.7,3.0,4.0,0.9,0.3,1.6,1.3,43.8,82.7
LAL,C,23.8,9.7,6.5,2.0,0.6,0.8,1.1,0.5,57.4,68.8
IND,PF,23.7,11.2,5.3,2.1,0.7,0.6,1.4,1.1,49.7,76.7
HOU,SG,23.7,13.1,2.9,2.4,1.1,0.3,1.1,2.2,46.9,80.8
NOP,PG,23.7,11.8,2.8,4.1,0.8,0.3,1.8,1.4,43.5,80.4
CHA,PF,23.6,11.1,5.2,2.2,0.6,0.7,1.3,1.2,47.6,81.5
DET,C,23.6,10.1,6.6,1.6,0.5,0.9,1.2,0.4,56.9,70.5
MIN,SG,23.6,12.7,3.3,2.9,0.9,0.2,1.6,1.8,45.8,77.4
BOS,PG,23.5,12.2,3.0,3.4,0.8,0.3,1.3,1.4,44.3,82.8
PHX,C,23.5,9.8,6.6,1.9,0.7,0.8,1.5,0.5,55.4,76.0
MIA,SF,23.5,12.1,4.2,2.5,0.8,0.3,1.6,1.5,49.8,78.6
WAS,SG,23.3,12.8,3.4,2.6,0.8,0.2,1.3,1.8,45.3,83.0
MEM,PF,23.3,11.2,4.8,2.1,0.7,0.7,1.3,1.2,46.7,81.0
DAL,PG,23.3,12.0,2.9,3.8,0.8,0.2,1.6,1.3,44.7,84.9
CHI,PF,23.2,10.9,5.2,2.0,0.6,0.6,1.1,1.2,46.8,78.4
DAL,PF,23.2,11.4,5.2,2.0,0.5,0.5,1.2,1.2,51.0,77.3
UTA,C,23.0,10.4,6.0,1.7,0.5,0.9,1.3,0.3,56.5,72.1
ATL,SF,23.0,12.0,4.0,2.3,0.8,0.4,1.3,1.3,45.6,82.1
MIN,PF,22.9,11.4,4.8,1.9,0.9,0.5,1.3,1.1,46.9,75.8
IND,SG,22.9,11.9,3.3,2.8,0.9,0.3,1.5,1.7,43.8,85.8
LAL,SG,22.8,12.5,3.2,2.6,0.7,0.3,1.1,1.8,44.1,82.1
OKC,SG,22.8,12.2,3.4,2.7,0.8,0.3,1.6,1.8,44.3,75.6
CHI,C,22.8,10.1,5.8,1.9,0.5,0.9,1.4,0.6,56.8,69.1
HOU,PF,22.7,10.6,4.9,2.0,0.7,0.7,1.2,1.1,50.5,75.5
MIN,C,22.7,9.6,5.8,2.1,0.7,0.8,1.5,0.6,52.3,65.7
TOR,C,22.7,10.2,6.4,1.6,0.4,0.8,1.5,0.6,56.1,73.2
GSW,PF,22.7,11.4,5.2,1.6,0.7,0.5,1.2,1.2,48.1,74.9
DET,PF,22.5,10.9,5.3,1.7,0.6,0.6,1.2,1.1,50.9,79.6
ORL,SF,22.5,11.9,3.7,2.2,0.8,0.5,1.3,1.7,46.7,77.5
CLE,C,22.5,9.6,6.3,1.5,0.7,0.7,1.2,0.7,52.3,77.9
PHI,PG,22.5,11.1,2.8,3.9,0.8,0.3,1.6,1.2,42.6,82.4
PHX,SG,22.5,12.5,3.2,2.6,0.8,0.3,1.5,1.6,43.0,83.1
SAC,C,22.4,10.0,5.7,1.9,0.5,0.8,1.3,0.5,56.7,72.9
LAL,PF,22.4,10.4,5.0,1.9,0.7,0.7,1.0,1.0,46.8,74.7
TOR,SG,22.4,11.8,3.2,3.1,0.7,0.2,1.5,1.7,46.3,84.3
TOR,PF,22.3,10.5,5.3,1.9,0.6,0.6,1.6,1.1,48.9,77.9
CLE,PF,22.3,11.1,4.8,1.8,0.7,0.5,1.3,1.1,48.4,76.3
MEM,SG,22.3,11.8,3.3,2.7,0.8,0.3,1.3,1.6,43.7,78.9
BOS,PF,22.3,11.6,4.8,1.8,0.5,0.5,1.3,1.1,48.4,82.0
IND,SF,22.3,11.3,4.2,2.2,0.8,0.4,1.3,1.3,45.8,82.7
MEM,C,22.2,9.2,5.8,2.0,0.7,0.9,1.4,0.5,53.1,69.3
PHX,PG,22.2,11.8,2.7,3.4,0.7,0.2,1.5,1.4,43.8,81.9
ORL,SG,22.2,11.4,3.0,2.9,0.9,0.3,1.6,1.7,41.8,79.3
SAC,SF,22.2,11.8,3.9,2.1,0.8,0.4,1.2,1.3,49.1,75.2
DET,SG,22.0,12.0,2.8,2.7,0.8,0.3,1.2,1.6,45.4,82.4
POR,C,22.0,10.3,5.5,1.6,0.5,0.7,1.0,0.5,57.1,68.0
LAC,PF,21.9,10.5,4.9,1.9,0.7,0.5,1.1,1.0,48.6,73.8
HOU,C,21.9,9.0,5.8,1.8,0.6,1.0,1.3,0.5,54.6,73.9
NYK,SG,21.9,11.9,3.2,2.6,0.6,0.3,1.2,1.8,44.4,79.7
GSW,SF,21.9,11.4,3.8,2.3,0.8,0.3,1.1,1.4,46.2,74.7
MIL,SG,21.8,11.7,3.4,2.5,0.8,0.1,1.2,1.5,43.4,80.9
MIL,C,21.8,9.2,5.8,1.8,0.6,0.7,1.0,0.6,49.0,70.5
LAL,SF,21.8,11.2,3.9,2.1,0.8,0.4,1.1,1.4,45.4,78.6
CLE,PG,21.7,11.0,2.7,3.6,0.8,0.2,1.5,1.3,43.8,80.0
OKC,SF,21.7,11.0,4.0,2.1,0.8,0.4,1.5,1.3,44.9,78.5
LAC,C,21.6,9.6,5.6,1.8,0.6,0.6,1.1,0.5,56.6,75.9
PHX,PF,21.6,10.5,4.7,1.8,0.8,0.5,1.3,1.0,50.1,77.3
ATL,SG,21.5,11.3,3.3,2.7,0.7,0.2,1.4,1.6,43.1,81.2
SAC,PF,21.5,10.6,4.6,2.0,0.6,0.5,1.2,0.9,49.9,81.0
NOP,PF,21.5,10.4,4.6,1.7,0.6,0.7,1.1,1.2,50.1,81.1
CHA,SG,21.5,11.6,2.9,2.7,0.7,0.3,1.3,1.6,44.8,83.2
WAS,C,21.4,9.5,5.6,1.5,0.5,0.8,1.1,0.5,51.8,76.7
BKN,SF,21.4,11.4,3.8,2.0,0.7,0.4,1.2,1.4,43.7,79.4
MIA,PF,21.4,10.1,5.1,2.0,0.6,0.4,1.4,1.0,48.1,75.5
ORL,C,21.4,9.5,5.5,1.5,0.6,0.7,1.0,0.5,56.8,70.5
BKN,PF,21.4,10.4,5.1,1.6,0.6,0.4,1.3,0.9,47.1,77.7
MIN,SF,21.4,11.2,3.9,2.1,0.7,0.3,1.3,1.5,46.2,79.8
NOP,SG,21.3,11.8,2.8,2.5,0.7,0.3,1.5,1.8,43.1,79.5
ORL,PF,21.3,10.2,4.7,1.9,0.6,0.6,1.1,1.1,49.1,77.2
NOP,C,21.1,9.2,5.5,1.6,0.5,0.8,1.1,0.5,58.4,73.6
WAS,SF,21.1,11.3,3.8,2.0,0.5,0.4,1.0,1.4,45.5,84.5
WAS,PF,21.1,10.3,4.7,1.7,0.5,0.6,1.0,1.1,45.8,78.7
HOU,SF,21.1,10.7,3.6,2.0,0.9,0.5,1.2,1.5,46.5,81.8
SAS,PF,21.1,10.4,4.4,1.8,0.6,0.5,1.0,1.0,53.0,80.6
POR,SG,21.1,11.4,2.9,2.5,0.8,0.3,1.3,1.7,44.0,80.5
PHI,PF,21.0,10.9,4.6,1.7,0.5,0.5,1.4,0.9,49.9,77.5
NOP,SF,21.0,10.8,3.6,2.1,0.8,0.4,1.2,1.3,45.1,78.9
DAL,SG,20.9,11.0,3.3,2.6,0.6,0.3,1.4,1.4,42.7,83.1
SAS,SG,20.9,11.2,2.8,2.5,0.9,0.3,1.2,1.5,45.8,80.2
DAL,SF,20.9,10.8,4.2,1.9,0.6,0.4,1.3,1.3,48.2,81.4
BOS,SF,20.8,11.0,3.7,1.8,0.8,0.4,1.2,1.2,45.4,83.3
PHI,C,20.8,8.8,5.9,1.6,0.4,0.7,1.1,0.5,54.5,74.9
UTA,SF,20.8,10.7,3.6,1.9,0.9,0.3,1.0,1.3,46.4,77.2
MIL,PF,20.8,10.0,4.7,1.7,0.7,0.5,1.1,1.1,46.1,80.3
CHI,SF,20.7,10.6,3.8,2.2,0.6,0.3,1.2,1.3,43.5,79.1
UTA,PF,20.7,9.6,4.7,1.8,0.7,0.6,1.1,0.8,47.2,77.4
BKN,C,20.7,9.2,5.9,1.4,0.5,0.5,1.0,0.4,52.2,65.9
MIL,SF,20.7,11.2,3.8,1.8,0.7,0.4,1.2,1.2,45.1,77.1
BOS,C,20.7,9.0,6.3,1.6,0.3,0.5,1.2,0.5,54.6,71.3
DEN,SG,20.6,11.0,2.9,2.6,0.8,0.2,1.4,1.5,44.0,79.9
NYK,SF,20.6,10.5,3.9,2.0,0.7,0.3,1.1,1.3,44.3,77.2
BOS,SG,20.6,11.1,3.0,2.3,0.7,0.3,1.0,1.5,42.9,81.0
CLE,SF,20.6,11.0,3.4,1.9,0.8,0.4,1.3,1.4,46.8,77.3
TOR,SF,20.5,11.2,3.3,2.1,0.6,0.4,1.3,1.4,48.4,81.8
PHI,SF,20.5,11.2,3.5,1.9,0.6,0.4,1.3,1.3,48.1,80.1
MEM,SF,20.5,10.5,3.6,2.2,0.7,0.4,1.4,1.3,44.3,80.0
CHA,SF,20.5,10.9,3.7,2.0,0.5,0.4,1.3,1.3,45.6,82.2
CLE,SG,20.5,11.3,2.9,2.4,0.8,0.2,1.5,1.6,43.5,83.6
POR,PF,20.5,10.6,4.1,1.7,0.6,0.5,1.0,1.0,50.3,76.6
DAL,C,20.5,9.2,5.7,1.6,0.3,0.6,0.9,0.5,57.9,69.6
NYK,PF,20.4,10.0,4.4,1.8,0.5,0.6,1.0,1.1,46.8,79.0
POR,SF,20.2,10.2,3.5,2.1,0.8,0.3,1.0,1.2,46.1,80.1
MIA,C,20.1,8.7,5.8,1.5,0.5,0.6,1.4,0.4,57.7,71.6
DEN,SF,20.1,10.1,3.4,2.1,0.9,0.4,1.0,1.2,46.3,74.9
DEN,PF,20.1,9.5,4.1,1.8,0.8,0.6,1.0,0.9,51.2,74.6
LAC,SG,19.9,10.6,2.9,2.3,0.7,0.3,1.2,1.5,43.0,78.3
PHX,SF,19.7,10.2,3.5,1.9,0.8,0.3,1.3,1.2,45.7,78.8
SAS,SF,19.6,10.3,3.0,2.1,0.8,0.3,1.0,1.3,50.1,77.3
NYK,C,19.4,8.6,5.4,1.4,0.4,0.6,1.0,0.5,54.4,71.8
DET,SF,19.3,10.5,3.2,1.8,0.7,0.4,1.2,1.2,47.2,82.1
DEN,C,19.1,8.5,4.9,1.4,0.6,0.7,1.0,0.4,52.6,69.8
LAC,SF,18.6,9.7,3.5,1.7,0.7,0.3,1.0,1.2,46.6,74.7
