TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
IND Pacers,+12,O 236,+500,−110,−110
BOS Celtics,-12,U 236,−675,−110,−110
SA Spurs,+8,O 228,+275,−110,−110
WAS Wizards,-8,U 228,−330,−110,−110
DET Pistons,+14.5,O 223.5,+750,−110,−115
TOR Raptors,-14.5,U 223.5,−1150,−110,−105
HOU Rockets,+13,O 233.5,+600,−115,−110
MEM Grizzlies,-13,U 233.5,−850,−105,−110
CHA Hornets,+14,O 227.5,+700,−105,−110
DAL Mavericks,-14,U 227.5,−1050,−115,−110
MIL Bucks,-9,O 236.5,−390,−110,−110
UTA Jazz,+9,U 236.5,+320,−110,−110
CHI Bulls,-2.5,O 225.5,−135,−110,−110
POR Trail Blazers,+2.5,U 225.5,+115,−110,−110
PHI 76ers,+5.5,O 235,+190,−110,−110
GS Warriors,-5.5,U 235,−225,−110,−110
PHO Suns,+3.5,O 239,+140,−110,−110
SAC Kings,-3.5,U 239,−165,−110,−110
OKC Thunder,+5.5,O 232.5,+190,−110,−110
LA Lakers,-5.5,U 232.5,−225,−110,−110
