TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
BOS Celtics,-5,O 228−110,−205,−110
ATL Hawks,+5,U 228−110,+175,−110
CLE Cavaliers,+1.5,O 211.5−110,+105,−110
NY Knicks,-1.5,U 211.5−110,−125,−110
DEN Nuggets,-2.5,O 223−110,−135,−110
MIN Timberwolves,+2.5,U 223−110,+115,−110
