TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
POR Trail Blazers,-5,O 229.5,−210,−110,−110
DET Pistons,+5,U 229.5,+180,−110,−110
PHI 76ers,-7.5,O 232.5,−315,−115,−110
IND Pacers,+7.5,U 232.5,+260,−105,−110
BOS Celtics,+7.5,O 218,+255,−110,−115
CLE Cavaliers,-7.5,U 218,−305,−110,−105
ATL Hawks,+2.5,O 229.5,+120,−110,−110
MIA Heat,-2.5,U 229.5,−140,−110,−110
TOR Raptors,+6,O 229,+195,−110,−110
DEN Nuggets,-6,U 229,−230,−110,−110
NO Pelicans,+5.5,O 237.5,+190,−105,−115
SAC Kings,-5.5,U 237.5,−225,−115,−105
