TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
ORL Magic,-3.5,O 225,−165,−105,−105
CHA Hornets,+3.5,U 225,+140,−115,−115
BKN Nets,+11,O 227.5,+420,−115,−110
BOS Celtics,-11,U 227.5,−540,−105,−110
POR Trail Blazers,+8.5,O 241.5,+285,−110,−110
ATL Hawks,-8.5,U 241.5,−345,−110,−110
PHO Suns,-3.5,O 223,−165,−110,−110
CHI Bulls,+3.5,U 223,+140,−110,−110
NY Knicks,-3,O 215,−150,−110,−110
MIA Heat,+3,U 215,+130,−110,−110
UTA Jazz,+1,O 231,−105,−110,−110
OKC Thunder,-1,U 231,−115,−110,−110
MEM Grizzlies,+4.5,O 233.5,+165,−110,−110
DEN Nuggets,-4.5,U 233.5,−195,−110,−110
NO Pelicans,+4.5,O 231,+165,−110,−110
GS Warriors,-4.5,U 231,−195,−110,−110
LA Clippers,+8.5,O 240,+280,−110,−110
SAC Kings,-8.5,U 240,−340,−110,−110
MIN Timberwolves,-1,O 227.5,−120,−115,−115
LA Lakers,+1,U 227.5,+100,−105,−105
