Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
CHI,DET,P. Beverley  ,Alex Caruso  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,Killian Hayes  ,Jaden Ivey  ,B. Bogdanovic GTD  ,Marvin Bagley  , James Wiseman ,Expected Lineup             ,Expected Lineup             
PHX,CHA,Chris Paul  ,Devin Booker  ,Torrey Craig  ,Kevin Durant  , Deandre Ayton ,Terry Rozier  ,Kelly Oubre  ,G. Hayward  ,JT Thor  , Mark Williams ,Expected Lineup             ,Expected Lineup             
CLE,BOS,D. Garland  ,D. Mitchell  ,Isaac Okoro  ,Evan Mobley  , Jarrett Allen ,Marcus Smart  ,Jaylen Brown  ,Jayson Tatum  ,Al Horford  , R. Williams ,Expected Lineup             ,Expected Lineup             
PHI,MIA,James Harden  ,D. Melton  ,Tobias Harris  ,P.J. Tucker  , Joel Embiid ,Gabe Vincent  ,Tyler Herro  ,Jimmy Butler  ,Kevin Love GTD  , Bam Adebayo ,Expected Lineup             ,Expected Lineup             
BKN,NYK,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith  , Nic Claxton ,Jalen Brunson  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , M. Robinson ,Expected Lineup             ,Expected Lineup             
MEM,HOU,Ja Morant  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,K. Porter GTD  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Expected Lineup             ,Expected Lineup             
ORL,MIL,M. Fultz  ,Gary Harris  ,Franz Wagner  ,P. Banchero  , W. Carter ,Jrue Holiday  ,Grayson Allen  ,P. Connaughton  ,G. Antetokounmpo  , Brook Lopez ,Expected Lineup             ,Expected Lineup             
LAL,OKC,D. Schroder  ,Malik Beasley  ,Troy Brown  ,J. Vanderbilt  , Anthony Davis ,Josh Giddey  ,Isaiah Joe  ,Luguentz Dort  ,J. Williams  , J. Williams ,Expected Lineup             ,Expected Lineup             
NOP,POR,CJ McCollum  ,J. Richardson GTD  ,B. Ingram  ,Herbert Jones  , J. Valanciunas GTD ,D. Lillard  ,Cam Reddish  ,M. Thybulle  ,Jerami Grant  , Drew Eubanks ,Expected Lineup             ,Expected Lineup             
