Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
SAS,CLE,D. Graham  ,M. Branham  ,K. Johnson GTD  ,J. Sochan GTD  , Zach Collins ,D. Garland  ,D. Mitchell  ,Isaac Okoro  ,Evan Mobley  , Jarrett Allen ,Expected Lineup             ,Expected Lineup             
UTA,IND,Collin Sexton  ,J. Clarkson  ,L. Markkanen  ,Kelly Olynyk  , W. Kessler ,T. Haliburton GTD  ,A. Nembhard  ,Buddy Hield  ,Aaron Nesmith  , M. Turner GTD ,Expected Lineup             ,Expected Lineup             
HOU,PHI,Jae'Sean Tate  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,James Harden  ,D. Melton  ,Tobias Harris  ,P.J. Tucker  , J. Embiid GTD ,Expected Lineup             ,Expected Lineup             
ATL,CHA,Trae Young GTD  ,D. Murray  ,D. Hunter  ,J. Collins GTD  , Clint Capela ,LaMelo Ball  ,Terry Rozier  ,G. Hayward  ,P. Washington  , Mark Williams ,Expected Lineup             ,Expected Lineup             
DEN,MIA,J. Murray GTD  ,K. Caldwell-Pope  ,M. Porter  ,A. Gordon GTD  , Nikola Jokic ,G. Vincent GTD  ,Max Strus GTD  ,Caleb Martin  ,Jimmy Butler  , B. Adebayo GTD ,Expected Lineup             ,Expected Lineup             
BKN,NYK,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith  , Nic Claxton ,Jalen Brunson  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , Jericho Sims ,Expected Lineup             ,Expected Lineup             
ORL,CHI,M. Fultz  ,Jalen Suggs  ,Franz Wagner  ,P. Banchero  , W. Carter ,Ayo Dosunmu  ,Zach LaVine  ,DeMar DeRozan  ,P. Williams  , N. Vucevic ,Expected Lineup             ,Expected Lineup             
NOP,OKC,C. McCollum GTD  ,B. Ingram  ,Trey Murphy  ,Herbert Jones  , J. Valanciunas ,S. Gilgeous-Alexander  ,Josh Giddey  ,Aaron Wiggins  ,J. Williams  , K. Williams ,Expected Lineup             ,Expected Lineup             
MIN,DAL,Mike Conley  ,A. Edwards  ,J. McDaniels  ,K. Anderson GTD  , R. Gobert GTD ,Luka Doncic  ,Kyrie Irving  ,Josh Green  ,R. Bullock  , Dwight Powell ,Expected Lineup             ,Expected Lineup             
WAS,GSW,Delon Wright  ,Bradley Beal  ,Kyle Kuzma GTD  ,K. Porzingis  , D. Gafford ,Jordan Poole  ,Klay Thompson  ,A. Wiggins GTD  ,D. Green  , Kevon Looney ,Expected Lineup             ,Expected Lineup             
LAL,POR,D. Schroder  ,D. Russell  ,L. James GTD  ,Rui Hachimura  , A. Davis GTD ,D. Lillard  ,A. Simons  ,Cam Reddish  ,J. Grant GTD  , Drew Eubanks ,Expected Lineup             ,Expected Lineup             
