TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
CLE Cavaliers,+9,O 217.5−110,+330,−105
ORL Magic,-9,U 217.5−110,−410,−115
MIA Heat,+3,O 220−110,+125,−115
PHI 76ers,-3,U 220−110,−145,−105
POR Trail Blazers,+4,O 227−115,+155,−105
SA Spurs,-4,U 227−105,−180,−115
OKC Thunder,-7,O 239.5−110,−275,−110
UTA Jazz,+7,U 239.5−110,+230,−110
DEN Nuggets,+10.5,O 224−110,+410,−105
PHO Suns,-10.5,U 224−110,−520,−115
