TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
MIA Heat,+3.5,O 209.5−110,+145,−110
NY Knicks,-3.5,U 209.5−110,−170,−110
LA Lakers,+7,O 225.5−110,+250,−110
GS Warriors,-7,U 225.5−110,−300,−110
