TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
CHA Hornets,,,−1700,,
MIL Bucks,,,+900,,
WAS Wizards,+14.5,,+1300,−130,
OKC Thunder,-14.5,,−4000,+100,
DET Pistons,+11.5,,+900,−105,
SA Spurs,-11.5,,−1700,−125,
CLE Cavaliers,+6,O 227.5,+230,−120,−110
DEN Nuggets,-6,U 227.5,−290,−110,−120
LA Clippers,+12.5,O 236.5,+600,−120,−120
MIN Timberwolves,-12.5,U 236.5,−950,−110,−110
MIA Heat,+1.5,O 212.5,−110,−120,−120
PHO Suns,-1.5,U 212.5,−120,−110,−110
ATL Hawks,-3,O 242,−140,−110,−110
LA Lakers,+3,U 242,+120,−110,−110
