TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
BOS Celtics,-11,O 229.5,−540,−105,−110
DET Pistons,+11,U 229.5,+420,−115,−110
CLE Cavaliers,-2.5,O 221,−145,−110,−110
WAS Wizards,+2.5,U 221,+125,−110,−110
LA Clippers,-6.5,O 218.5,−250,−110,−110
BKN Nets,+6.5,U 218.5,+210,−110,−110
SA Spurs,+10.5,O 237,+420,−110,−110
CHI Bulls,-10.5,U 237,−540,−110,−110
SAC Kings,-5.5,O 234.5,−230,−110,−110
HOU Rockets,+5.5,U 234.5,+195,−110,−110
DAL Mavericks,+9.5,O 221,+330,−115,−110
UTA Jazz,-9.5,U 221,−410,−105,−110
MIL Bucks,-4.5,O 239.5,−180,−115,−110
POR Trail Blazers,+4.5,U 239.5,+155,−105,−110
OKC Thunder,+4.5,O 237,+155,−110,−110
GS Warriors,-4.5,U 237,−180,−110,−110
