TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
NO Pelicans,-5,O 232.5,−205,−110,−110
DET Pistons,+5,U 232.5,+175,−110,−110
NY Knicks,-3,,−155,−115,
WAS Wizards,+3,,+135,−105,
ATL Hawks,-3,,−150,−110,
IND Pacers,+3,,+130,−110,
GS Warriors,-8,O 240.5,−345,−110,−110
SA Spurs,+8,U 240.5,+285,−110,−110
OKC Thunder,+5,,+155,−110,
CHI Bulls,-5,,−180,−110,
PHO Suns,+2.5,,+120,−110,
MIN Timberwolves,-2.5,,−140,−110,
ORL Magic,+5.5,O 233,+185,−110,−110
UTA Jazz,-5.5,U 233,−215,−110,−110
HOU Rockets,+10,O 235,+380,−110,−110
SAC Kings,-10,U 235,−475,−110,−110
