Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
MIL,IND,Jrue Holiday  ,Grayson Allen  ,K. Middleton GTD  ,G. Antetokounmpo GTD  , Brook Lopez ,A. Nembhard  ,B. Mathurin  ,Aaron Nesmith  ,Jordan Nwora  , M. Turner GTD ,Expected Lineup             ,Expected Lineup             
HOU,BKN,Kevin Porter  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith  , Nic Claxton ,Expected Lineup             ,Expected Lineup             
MIA,NYK,Gabe Vincent  ,Tyler Herro  ,J. Butler GTD  ,Kevin Love  , Bam Adebayo ,J. Brunson GTD  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , M. Robinson ,Expected Lineup             ,Expected Lineup             
DAL,PHI,Luka Doncic  ,Kyrie Irving  ,Tim Hardaway  ,R. Bullock  , Dwight Powell ,J. Harden GTD  ,Tyrese Maxey  ,Tobias Harris  ,P.J. Tucker  , J. Embiid GTD ,Expected Lineup             ,Expected Lineup             
LAL,CHI,D. Russell GTD  ,Austin Reaves  ,L. James GTD  ,J. Vanderbilt  , A. Davis GTD ,P. Beverley  ,A. Caruso GTD  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,Expected Lineup             ,Expected Lineup             
UTA,SAS,T. Horton-Tucker  ,Ochai Agbaji  ,L. Markkanen GTD  ,Kelly Olynyk  , W. Kessler ,Tre Jones  ,R. Langford  ,M. Branham  ,K. Bates-Diop  , S. Mamukelashvili ,Expected Lineup             ,Expected Lineup             
DET,OKC,Killian Hayes  ,Jaden Ivey  ,Isaiah Livers  ,Marvin Bagley  , James Wiseman ,S. Gilgeous-Alexander GTD  ,Josh Giddey  ,Luguentz Dort  ,J. Williams  , J. Williams ,Expected Lineup             ,Expected Lineup             
LAC,MEM,R. Westbrook  ,Eric Gordon  ,Kawhi Leonard  ,Nicolas Batum  , Ivica Zubac ,Ja Morant GTD  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Expected Lineup             ,Expected Lineup             
MIN,PHX,Mike Conley  ,A. Edwards GTD  ,J. McDaniels  ,K. Towns GTD  , Rudy Gobert ,Chris Paul  ,Devin Booker  ,Josh Okogie  ,K. Durant GTD  , Deandre Ayton ,Expected Lineup             ,Expected Lineup             
SAC,POR,De'Aaron Fox  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,R. Arcidiacono  ,S. Sharpe  ,M. Thybulle  ,Nassir Little  , Drew Eubanks ,Expected Lineup             ,Expected Lineup             
