TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
MEM Grizzlies,-7.5,O 236.5,−285,−110,−110
CHA Hornets,+7.5,U 236.5,+240,−110,−110
IND Pacers,+6.5,O 232,+215,−110,−110
PHI 76ers,-6.5,U 232,−255,−110,−110
PHO Suns,+5,O 217,+175,−105,−110
CLE Cavaliers,-5,U 217,−205,−115,−110
OKC Thunder,-1,O 231,−115,−110,−110
ORL Magic,+1,U 231,−105,−110,−110
SA Spurs,+9.5,O 225.5,+320,−115,−110
NY Knicks,-9.5,U 225.5,−390,−105,−110
MIL Bucks,+4.5,O 225.5,+160,−110,−110
TOR Raptors,-4.5,U 225.5,−190,−110,−110
POR Trail Blazers,-1.5,O 235,−120,−110,−110
MIN Timberwolves,+1.5,U 235,+100,−110,−110
BKN Nets,-5.5,O 235.5,−210,−110,−110
CHI Bulls,+5.5,U 235.5,+180,−110,−110
HOU Rockets,+7,O 229.5,+225,−110,−110
NO Pelicans,-7,U 229.5,−265,−110,−110
DET Pistons,+6.5,O 232,+215,−105,−110
GS Warriors,-6.5,U 232,−255,−115,−110
MIA Heat,-7,O 229,−265,−110,−110
LA Lakers,+7,U 229,+225,−110,−110
ATL Hawks,+1,O 245,−105,−110,−110
SAC Kings,-1,U 245,−115,−110,−110
