TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
DEN Nuggets,-8,O 226.5,−340,−115,−110
WAS Wizards,+8,U 226.5,+280,−105,−110
NY Knicks,+2,O 224.5,+105,−115,−110
MIA Heat,-2,U 224.5,−125,−105,−110
GS Warriors,pk,O 236,−110,−110,−110
DAL Mavericks,pk,U 236,−110,−110,−110
IND Pacers,+9,O 234,+310,−110,−110
TOR Raptors,-9,U 234,−380,−110,−110
PHI 76ers,-3.5,O 221.5,−165,−110,−105
CHI Bulls,+3.5,U 221.5,+140,−110,−115
SA Spurs,+17.5,O 238,+1000,−110,−110
MIL Bucks,-17.5,U 238,−1800,−110,−110
HOU Rockets,+12.5,O 231.5,+625,−105,−115
MEM Grizzlies,-12.5,U 231.5,−900,−115,−105
ATL Hawks,+5,O 241.5,+165,−115,−115
MIN Timberwolves,-5,U 241.5,−195,−105,−105
POR Trail Blazers,+5,O 235,+170,−105,−110
UTA Jazz,-5,U 235,−200,−115,−110
PHO Suns,-1,O 229,−110,−105,−110
LA Lakers,+1,U 229,−110,−115,−110
