TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
BKN Nets,+10,O 213.5−110,+400,−110
PHI 76ers,-10,U 213.5−110,−500,−110
GS Warriors,-1.5,O 240−110,−120,−110
SAC Kings,+1.5,U 240−110,+100,−110
