Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
NYK,LAC,I. Quickley  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , M. Robinson ,R. Westbrook  ,Paul George  ,Kawhi Leonard  ,Marcus Morris  , Ivica Zubac ,Confirmed Lineup             ,Confirmed Lineup             
IND,DET,T. Haliburton GTD  ,A. Nembhard  ,Buddy Hield  ,Aaron Nesmith  , M. Turner GTD ,Killian Hayes  ,R. McGruder  ,Isaiah Livers  ,Marvin Bagley  , James Wiseman ,Expected Lineup             ,Expected Lineup             
MIA,ORL,Kyle Lowry GTD  ,Tyler Herro  ,Jimmy Butler  ,Kevin Love  , Bam Adebayo ,M. Fultz  ,Gary Harris  ,Franz Wagner  ,P. Banchero  , W. Carter ,Expected Lineup             ,Expected Lineup             
UTA,CHA,T. Horton-Tucker  ,Ochai Agbaji  ,L. Markkanen  ,Kelly Olynyk  , W. Kessler ,T. Rozier GTD  ,Kelly Oubre  ,G. Hayward  ,P. Washington  , Nick Richards ,Expected Lineup             ,Expected Lineup             
BOS,ATL,Marcus Smart  ,Derrick White  ,Jaylen Brown  ,Jayson Tatum  , Al Horford ,Trae Young  ,D. Murray  ,D. Hunter GTD  ,John Collins  , Clint Capela ,Expected Lineup             ,Expected Lineup             
CHI,HOU,P. Beverley  ,Alex Caruso  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,K. Porter GTD  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Expected Lineup             ,Expected Lineup             
DAL,MEM,K. Irving GTD  ,Tim Hardaway  ,Josh Green  ,R. Bullock GTD  , Dwight Powell ,Tyus Jones  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Expected Lineup             ,Expected Lineup             
OKC,NOP,S. Gilgeous-Alexander  ,Josh Giddey  ,Luguentz Dort  ,J. Williams  , J. Williams ,CJ McCollum  ,Trey Murphy  ,B. Ingram GTD  ,Herbert Jones  , J. Valanciunas ,Expected Lineup             ,Expected Lineup             
MIL,GSW,Jrue Holiday  ,Grayson Allen  ,K. Middleton  ,Bobby Portis  , Brook Lopez ,Stephen Curry  ,Jordan Poole  ,K. Thompson GTD  ,D. Green  , Kevon Looney ,Expected Lineup             ,Expected Lineup             
SAC,PHX,De'Aaron Fox  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,Chris Paul  ,Devin Booker  ,Josh Okogie  ,Torrey Craig  , Deandre Ayton ,Expected Lineup             ,Expected Lineup             
