TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
MIA Heat,-6.5,O 218−110,−250,−110
WAS Wizards,+6.5,U 218−110,+210,−110
HOU Rockets,-4.5,O 229−110,−180,−105
CHA Hornets,+4.5,U 229−110,+155,−115
DET Pistons,+7,O 232−110,+230,−115
IND Pacers,-7,U 232−110,−275,−105
ORL Magic,+11,O 218−110,+440,−110
BKN Nets,-11,U 218−110,−580,−110
PHI 76ers,+10.5,O 236−105,+410,−110
ATL Hawks,-10.5,U 236−115,−520,−110
TOR Raptors,+1,O 222.5−110,+100,−110
BOS Celtics,-1,U 222.5−110,−120,−110
NY Knicks,+8,O 223−110,+285,−110
NO Pelicans,-8,U 223−110,−345,−110
MEM Grizzlies,-8,O 229−115,−330,−110
MIL Bucks,+8,U 229−105,+275,−110
CHI Bulls,+11,O 225.5−110,+430,−115
DAL Mavericks,-11,U 225.5−110,−560,−105
GS Warriors,-9.5,O 235−110,−425,−110
SAC Kings,+9.5,U 235−110,+340,−110
PHO Suns,+10,O 226.5−110,+410,−110
LA Lakers,-10,U 226.5−110,−520,−110
