TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
DET Pistons,+11,O 221.5,+450,−110,−110
CLE Cavaliers,-11,U 221.5,−600,−110,−110
CHA Hornets,+4,O 235.5,+145,−110,−110
WAS Wizards,-4,U 235.5,−170,−110,−110
PHI 76ers,+4,O 225,+155,−105,−110
BOS Celtics,-4,U 225,−180,−115,−110
IND Pacers,+7,O 223.5,+220,−110,−110
MIA Heat,-7,U 223.5,−260,−110,−110
SA Spurs,+11,O 232.5,+410,−110,−105
TOR Raptors,-11,U 232.5,−520,−110,−115
SAC Kings,-8.5,O 239.5,−365,−115,−110
HOU Rockets,+8.5,U 239.5,+300,−105,−110
MIN Timberwolves,+5.5,O 236,+170,−110,−110
UTA Jazz,-5.5,U 236,−200,−110,−110
GS Warriors,+2.5,O 234.5,+115,−110,−110
POR Trail Blazers,-2.5,U 234.5,−135,−110,−110
DAL Mavericks,+8.5,O 220.5,+270,−115,−110
LA Clippers,-8.5,U 220.5,−325,−105,−110
