Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
DEN,ORL,J. Murray GTD  ,K. Caldwell-Pope  ,M. Porter  ,Aaron Gordon  , Nikola Jokic ,M. Fultz  ,G. Harris GTD  ,Franz Wagner  ,P. Banchero  , W. Carter ,Expected Lineup             ,Expected Lineup             
PHX,ATL,Chris Paul  ,Damion Lee  ,Torrey Craig  ,Dario Saric  , Deandre Ayton ,Trae Young  ,D. Murray  ,D. Hunter  ,John Collins  , Clint Capela ,Expected Lineup             ,Expected Lineup             
CHI,BKN,Ayo Dosunmu  ,Zach LaVine  ,D. DeRozan GTD  ,P. Williams GTD  , N. Vucevic ,Ben Simmons  ,S. Dinwiddie  ,Joe Harris  ,Royce O'Neale  , Nic Claxton ,Expected Lineup             ,Expected Lineup             
MIL,LAL,Jrue Holiday  ,Grayson Allen  ,P. Connaughton  ,G. Antetokounmpo GTD  , B. Lopez GTD ,D. Schroder  ,P. Beverley  ,L. James GTD  ,Rui Hachimura  , A. Davis GTD ,Expected Lineup             ,Expected Lineup             
