,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Cleveland,Orlando,16:00:00,-4.5,+4.5,+10,-10,-189,+160,+330,-410
1,Miami,Philadelphia,16:30:00,+5.5,-5.5,+3,-3,+180,-213,+125,-145
2,Portland,San Antonio,17:00:00,+2.5,-2.5,+4,-4,+115,-135,+153,-173
3,Oklahoma City,Utah,18:00:00,-5,+5,-6.5,+6.5,-200,+170,-250,+210
