TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
BOS Celtics,-11,O 223,−600,−115,−110
WAS Wizards,+11,U 223,+450,−105,−110
MIA Heat,+3.5,O 220,+140,−110,−110
TOR Raptors,-3.5,U 220,−165,−110,−110
CLE Cavaliers,pk,O 237,−110,−110,−110
ATL Hawks,pk,U 237,−110,−110,−110
ORL Magic,+6.5,O 229,+240,−105,−110
MEM Grizzlies,-6.5,U 229,−285,−115,−110
CHA Hornets,+10.5,O 230,+390,−110,−110
OKC Thunder,-10.5,U 230,−490,−110,−110
NO Pelicans,+8.5,O 234,+290,−110,−110
GS Warriors,-8.5,U 234,−350,−110,−110
