Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
WAS,ATL,Delon Wright  ,Bradley Beal  ,Kyle Kuzma  ,Deni Avdija  , D. Gafford ,Trae Young  ,D. Murray  ,D. Hunter  ,John Collins  , Clint Capela ,Expected Lineup             ,Expected Lineup             
MIL,BKN,Jrue Holiday  ,Jevon Carter  ,Grayson Allen  ,G. Antetokounmpo GTD  , Brook Lopez ,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith  , Nic Claxton ,Expected Lineup             ,Expected Lineup             
CHI,TOR,P. Beverley  ,Alex Caruso  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,Fred VanVleet  ,Gary Trent  ,OG Anunoby  ,S. Barnes  , Pascal Siakam ,Expected Lineup             ,Expected Lineup             
LAL,MEM,D. Schroder  ,Malik Beasley  ,Troy Brown  ,J. Vanderbilt  , A. Davis GTD ,Ja Morant  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Expected Lineup             ,Expected Lineup             
DEN,HOU,J. Murray GTD  ,K. Caldwell-Pope  ,M. Porter  ,A. Gordon GTD  , Nikola Jokic ,K. Porter GTD  ,Jalen Green  ,Kenyon Martin  ,Jabari Smith  , A. Sengun ,Expected Lineup             ,Expected Lineup             
SAC,OKC,D. Fox GTD  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,Josh Giddey  ,Isaiah Joe  ,Luguentz Dort  ,J. Williams  , J. Williams ,Expected Lineup             ,Expected Lineup             
IND,DAL,T. Haliburton  ,A. Nembhard  ,Buddy Hield  ,Aaron Nesmith  , Myles Turner ,Luka Doncic  ,Kyrie Irving  ,R. Bullock  ,Josh Green  , Dwight Powell ,Expected Lineup             ,Expected Lineup             
SAS,UTA,Tre Jones GTD  ,M. Branham  ,K. Bates-Diop  ,K. Johnson  , Zach Collins ,Kris Dunn  ,T. Horton-Tucker  ,L. Markkanen  ,Kelly Olynyk  , W. Kessler ,Expected Lineup             ,Expected Lineup             
POR,GSW,D. Lillard  ,Cam Reddish  ,M. Thybulle  ,Jerami Grant  , Drew Eubanks ,Jordan Poole  ,Klay Thompson  ,D. DiVincenzo  ,D. Green GTD  , Kevon Looney ,Expected Lineup             ,Expected Lineup             
MIN,LAC,Mike Conley  ,A. Edwards  ,J. McDaniels  ,Kyle Anderson  , R. Gobert GTD ,R. Westbrook  ,Paul George  ,Kawhi Leonard  ,Marcus Morris  , I. Zubac GTD ,Expected Lineup             ,Expected Lineup             
