TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
ORL Magic,+9,O 231.5,+320,−105,−110
PHI 76ers,-9,U 231.5,−390,−115,−110
LA Lakers,+9,O 230,+320,−105,−110
BKN Nets,-9,U 230,−390,−115,−110
GS Warriors,-4.5,O 242,−195,−115,−110
OKC Thunder,+4.5,U 242,+165,−105,−110
WAS Wizards,-6,O 240.5,−225,−110,−110
SA Spurs,+6,U 240.5,+190,−110,−110
SAC Kings,-1,O 238,−115,−110,−110
MIN Timberwolves,+1,U 238,−105,−110,−110
DET Pistons,+8.5,O 228.5,+285,−110,−110
DAL Mavericks,-8.5,U 228.5,−345,−110,−110
TOR Raptors,+1.5,O 220.5,+105,−110,−110
PHO Suns,-1.5,U 220.5,−125,−110,−110
ATL Hawks,+2,O 237,+115,−105,−110
POR Trail Blazers,-2,U 237,−135,−115,−110
