TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
NY Knicks,-2,O 225,−130,−110,−110
WAS Wizards,+2,U 225,+110,−110,−110
MIA Heat,+1,O 219,−105,−110,−110
MIL Bucks,-1,U 219,−115,−110,−110
CLE Cavaliers,+1,O 227.5,−105,−110,−110
ATL Hawks,-1,U 227.5,−115,−110,−110
CHA Hornets,+6.5,O 240.5,+210,−105,−110
MIN Timberwolves,-6.5,U 240.5,−250,−115,−110
BKN Nets,+2,O 222.5,+110,−110,−110
CHI Bulls,-2,U 222.5,−130,−110,−110
OKC Thunder,+7,O 231,+230,−115,−110
PHO Suns,-7,U 231,−275,−105,−110
HOU Rockets,+10.5,O 231.5,+400,−110,−115
GS Warriors,-10.5,U 231.5,−500,−110,−105
SAC Kings,+7.5,O 238,+240,−110,−110
LA Clippers,-7.5,U 238,−285,−110,−110
