TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
WAS Wizards,+6,,+200,−110,
NY Knicks,-6,,−240,−110,
ATL Hawks,+3.5,O 232.5,+140,−110,−110
DAL Mavericks,-3.5,U 232.5,−165,−110,−110
CLE Cavaliers,+6.5,,+225,−110,
MEM Grizzlies,-6.5,,−265,−110,
IND Pacers,+4,O 240.5,+150,−110,−110
OKC Thunder,-4,U 240.5,−175,−110,−110
MIA Heat,-1,O 221.5,−115,−110,−110
NO Pelicans,+1,U 221.5,−105,−110,−110
CHA Hornets,-2,,−130,−110,
HOU Rockets,+2,,+110,−110,
SAC Kings,-3.5,,−165,−110,
LA Lakers,+3.5,,+140,−110,
MIN Timberwolves,+8.5,,+295,−110,
DEN Nuggets,-8.5,,−360,−110,
