TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
NY Knicks,-7,O 226.5,−275,−110,−110
DET Pistons,+7,U 226.5,+230,−110,−110
HOU Rockets,+9,,+320,−110,
LA Clippers,-9,,−390,−110,
GS Warriors,-3,,−140,−110,
CHI Bulls,+3,,+120,−110,
OKC Thunder,+5,O 229.5,+180,−110,−110
BKN Nets,-5,U 229.5,−210,−110,−110
SAC Kings,-7,O 245,−275,−110,−110
SA Spurs,+7,U 245,+230,−110,−110
ORL Magic,+10,O 231,+420,−110,−110
DEN Nuggets,-10,U 231,−540,−110,−110
PHI 76ers,-4,,−170,−110,
LA Lakers,+4,,+145,−110,
