TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
NY Knicks,+5.5,O 202.5−110,+185,−110
CLE Cavaliers,-5.5,U 202.5−110,−215,−110
LA Lakers,+4,O 221.5−110,+145,−110
MEM Grizzlies,-4,U 221.5−110,−170,−110
MIA Heat,+11.5,O 219.5−110,+460,−110
MIL Bucks,-11.5,U 219.5−110,−610,−110
GS Warriors,-1.5,O 234.5−110,−120,−110
SAC Kings,+1.5,U 234.5−110,+100,−110
