TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
MIL Bucks,-17,O 233,−1800,−110,−110
DET Pistons,+17,U 233,+1000,−110,−110
DAL Mavericks,-1.5,O 233.5,−120,−110,−110
IND Pacers,+1.5,U 233.5,+100,−110,−110
HOU Rockets,+13.5,O 230.5,+675,−110,−110
NY Knicks,-13.5,U 230.5,−975,−110,−110
PHO Suns,-6.5,O 234,−255,−110,−110
UTA Jazz,+6.5,U 234,+215,−110,−110
PHI 76ers,+5.5,O 228.5,+185,−110,−110
DEN Nuggets,-5.5,U 228.5,−215,−110,−110
NO Pelicans,-10.5,O 226.5,−600,−110,−110
POR Trail Blazers,+10.5,U 226.5,+450,−110,−110
MIN Timberwolves,+4,O 239,+150,−110,−110
SAC Kings,-4,U 239,−175,−110,−110
CHI Bulls,+5,O 221,+165,−115,−110
LA Clippers,-5,U 221,−195,−105,−110
