TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
CHA Hornets,+2.5,O 211.5,+125,−110,−120
IND Pacers,-2.5,U 211.5,−155,−120,−110
UTA Jazz,+5.5,O 226.5,+195,−115,−115
MEM Grizzlies,-5.5,U 226.5,−240,−115,−115
BKN Nets,-2.5,O 222.5,−145,−110,−110
MIA Heat,+2.5,U 222.5,+115,−120,−120
DAL Mavericks,+4,O 227,+150,−105,−110
OKC Thunder,-4,U 227,−175,−115,−110
MIN Timberwolves,-3.5,O 232.5,−165,−110,−110
HOU Rockets,+3.5,U 232.5,+140,−110,−110
CLE Cavaliers,-5.5,O 213.5,−215,−115,−110
PHO Suns,+5.5,U 213.5,+185,−105,−110
ATL Hawks,+4,O 234.5,+145,−115,−110
LA Clippers,-4,U 234.5,−170,−105,−110
